Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
Collabera Inc.,c8a5z874t503m6w7ghf,http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet,JHR6GW6KRFP231W2PLC,15-1021.00,Computer Programmers, .Net Developer position. The hiring manager is looking for someone with hands-on experience with C or ...  C+This is the C++/C .Net Developer...,,Full-Time,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR6GW6KRFP231W2PLC,https://api.careerbuilder.com/v1/job?DID=JHR6GW6KRFP231W2PLC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,IN - Warsaw,41.2783,-85.872,7/3/2014 4:09:32 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR6GW6KRFP231W2PLC,C++/C .Net Developer,CanBulkApply,"
        c (programming language)-
        c++-
      "
Collabera Inc.,c8a5z874t503m6w7ghf,http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet,JB722V6CTQMB1JDP3SD,15-1099.01,Software Quality Assurance Engineers and Testers,,Contractor,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB722V6CTQMB1JDP3SD,https://api.careerbuilder.com/v1/job?DID=JB722V6CTQMB1JDP3SD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,CA - Oakland,37.80506,-122.27302,7/21/2014 3:10:45 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB722V6CTQMB1JDP3SD,Senior QA Analyst (C# .net),HasScreener,"
        qa-
        xsl-
        quality assurance-
        web service-
        c-sharp-
        xml-
        java platform, enterprise edition-
        software development-
        apache ant-
        asp.net-
        java (programming language)-
        software design-
        xpath-
        sql-
        electronic commerce-
        microsoft visual studio-
        apache maven-
        c++-
        scrum (development)-
      "
Kush Recruitment Pvt. Ltd.,chl7c45zmfmqwpfkg75,http://www.careerbuilder.com/jobs/company/chl7c45zmfmqwpfkg75/kush-recruitment-pvt-ltd?sc_cmp1=13_JobRes_ComDet,JHS22T6TM2S64KFQPXK,15-1099.04,Web Developers,,Contractor,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS22T6TM2S64KFQPXK,https://api.careerbuilder.com/v1/job?DID=JHS22T6TM2S64KFQPXK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,MD - Chevy Chase,38.98225,-77.08767,7/1/2014 3:20:38 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS22T6TM2S64KFQPXK,".Net Developers, C#",CanBulkApply,"
        web service-
        c-sharp-
        database-
        agile software development-
        xml-
        workflow-
        sql-
      "
DISYS,c7x3336nbg18m66dlvt,http://www.careerbuilder.com/jobs/company/c7x3336nbg18m66dlvt/disys?sc_cmp1=13_JobRes_ComDet,JHQ6Y166LY6K1KJHNVV,15-1031.00,"Computer Software Engineers, Applications",.Net Developer (internally known as Software Engineering Analyst II) Disys is currently ...  .NET Developer / Software Engineer Requirements: Bachelor...,,Full-Time,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ6Y166LY6K1KJHNVV,https://api.careerbuilder.com/v1/job?DID=JHQ6Y166LY6K1KJHNVV&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,IL - Oak Brook,41.8364,-87.952,7/23/2014 8:30:31 AM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ6Y166LY6K1KJHNVV,.NET Developer / Software Engineer,CanBulkApply,"
        html5-
        web service-
        c-sharp-
        database-
        xml-
        javascript-
        jquery-
        software development-
        asp.net-
        IL (network protocol)-
        microsoft windows-
        sql-
        microsoft visual studio-
        ajax-
      "
GEICO,c8h3zm76hmxy247w1b0,http://www.careerbuilder.com/jobs/company/c8h3zm76hmxy247w1b0/geico?sc_cmp1=13_JobRes_ComDet,JHM1576VQV8RY7LC3V4,15-1031.00,"Computer Software Engineers, Applications",,Full-Time,High School Diploma,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM1576VQV8RY7LC3V4,https://api.careerbuilder.com/v1/job?DID=JHM1576VQV8RY7LC3V4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,"MD - Washington, DC",38.96108,-77.09055,6/27/2014 1:01:42 AM,$80k - $110k/year,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM1576VQV8RY7LC3V4,"Senior .Net Developer, Senior Programmer, Sr. .Net Developer, .Net Programmer, Software Engineer, .Net Developer, .Net Engineer,",IsExternal,"
        web service-
        c-sharp-
        database-
        agile software development-
        xml-
        workflow-
        sql-
      "
Hunter International,chs7qw767q3tbprnv91,http://www.careerbuilder.com/jobs/company/chs7qw767q3tbprnv91/hunter-international?sc_cmp1=13_JobRes_ComDet,JHN39D6S2WYRGSJT9TM,15-1021.00,Computer Programmers,.NET DEVELOPER - DEVELOPER - .NET DEVELOPER - DEVELOPER - .NET DEVELOPER - DEVELOPER .Net ...  /Developer. .NET DEVELOPER - DEVELOPER - .NET DEVELOPER...,,Full-Time,Bachelor's Degree,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN39D6S2WYRGSJT9TM,https://api.careerbuilder.com/v1/job?DID=JHN39D6S2WYRGSJT9TM&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,OH - Cleveland,41.4995,-81.6959,7/9/2014 9:11:53 AM,$70k - $95k/year,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN39D6S2WYRGSJT9TM,.NET Developer,CanBulkApply,"
        html-
        c-sharp-
        javascript-
        jquery-
        User Interface design-
        microsoft word-
        asp.net-
        User Interface-
        sql-
        ajax-
      "
vTech Solution Inc,,,JHT1VX6YZBWTMF8GD6J,15-1021.00,Computer Programmers,"a Senior .Net developer and are seeking an established company to work for, consider acareer at ...  Requirements Position: Senior .Net developer...",,Contractor,Bachelor's Degree,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT1VX6YZBWTMF8GD6J,https://api.careerbuilder.com/v1/job?DID=JHT1VX6YZBWTMF8GD6J&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,VA - Richmond,37.5407,-77.43365,6/27/2014 2:31:58 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT1VX6YZBWTMF8GD6J,Senior .Net developer,CanBulkApply,"
        Service layer-
        web development-
        web service-
        c-sharp-
        oracle database-
        nunit-
        database-
        xml-
        client-server model-
        windows communication foundation-
        jquery-
        windows server 2008 r2-
        User Interface design-
        windows 7-
        asp.net-
        microsoft sql server-
        mvc-
        windows server 2008-
        microsoft windows-
        xpath-
        team foundation server-
        sql-
        language integrated query-
        microsoft visual studio-
        microsoft visio-
        database design-
        scrum (development)-
      "
Bluestone,chs5s16p753nnxd8bjj,http://www.careerbuilder.com/jobs/company/chs5s16p753nnxd8bjj/bluestone?sc_cmp1=13_JobRes_ComDet,JHV6CH5XT9F3PGWR1F2,15-1021.00,Computer Programmers,"Our client, a large financial services company located in Detroit, MI, is seeking a Sr. .NET ...   development including design, coding, testing,...",,Full-Time,Associate Degree,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV6CH5XT9F3PGWR1F2,https://api.careerbuilder.com/v1/job?DID=JHV6CH5XT9F3PGWR1F2&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,MI - Detroit,42.33168,-83.04792,7/22/2014 1:50:32 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV6CH5XT9F3PGWR1F2,Sr. .Net Developer,CanBulkApply,"
        database-
        agile software development-
        javascript-
        jquery-
        software development-
        asp.net-
        microsoft sql server-
        software design-
        mvc-
        windows server 2008-
        sql-
      "
Dickson Resources,c8a64z6s2t7kc098sz6,http://www.careerbuilder.com/jobs/company/c8a64z6s2t7kc098sz6/dickson-resources?sc_cmp1=13_JobRes_ComDet,JHM1DV64V6ZVXRY10C8,15-1099.04,Web Developers,"Are you looking for a .NET role where you can also do AngularJS programming with a web based ...  Keywords: C#, AngularJS, KnockoutJS, .NET, MVC, MVVM...",,Full-Time,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM1DV64V6ZVXRY10C8,https://api.careerbuilder.com/v1/job?DID=JHM1DV64V6ZVXRY10C8&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,TN - Nashville,36.16778,-86.77836,7/21/2014 4:12:23 PM,$60.00 - $70.00/hour,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM1DV64V6ZVXRY10C8,.NET and AngularJS Consultant Medical Records,CanBulkApply,"
        web service-
        html-
        c-sharp-
        database-
        javascript-
        jquery-
        software development-
        asp.net-
        mvc-
        language integrated query-
        application programming interface-
        ajax-
      "
Alta Resources,,,JHR6FR6S3MYT2C1MC4F,15-1031.00,"Computer Software Engineers, Applications",,Full-Time,Not Specified,Not Specified,http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR6FR6S3MYT2C1MC4F,https://api.careerbuilder.com/v1/job?DID=JHR6FR6S3MYT2C1MC4F&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ,WI - Neenah,44.1857,-88.529,7/20/2014 11:00:44 PM,N/A,http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR6FR6S3MYT2C1MC4F,.Net Developer,CanBulkApply,"
        html5-
        .net framework-
        c-sharp-
        database-
        Business Intelligence-
        software development-
        User Interface design-
        eclipse-
        microsoft office-
        microsoft sql server-
        microsoft windows-
        sql-
        electronic commerce-
        microsoft visual studio-
        salesforce.com-
        Customer relationship management-
      "
