Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Claddagh Resources</>,<>c8e7fg749xp8xtcw6wv</>,<>http://www.careerbuilder.com/jobs/company/c8e7fg749xp8xtcw6wv/claddagh-resources?sc_cmp1=13_JobRes_ComDet</>,<>JHN31C6FZ81ZYMR6KMB</>,<>15-1099.04</>,<>Web Developers</>,"<>Job Title UI Expert (javascript/ HTML/ CSS ) Location Cupertino, CA RGS # 3376399 Job Type ...   implementing complex UI-rich applications using...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN31C6FZ81ZYMR6KMB</>,<>https://api.careerbuilder.com/v1/job?DID=JHN31C6FZ81ZYMR6KMB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Cupertino</>,<>37.305</>,<>-122.0946</>,<>7/6/2014 1:12:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN31C6FZ81ZYMR6KMB</>,<>UI Expert (javascript/ HTML/ CSS )</>,<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>internet backbone</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>ibm software</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>oracle weblogic server</Skill>
        <Skill>User Interface design</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>apache struts</Skill>
        <Skill>mvc</Skill>
        <Skill>workflow</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>java servlet</Skill>
        <Skill>unit testing</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
"<>Myers Media Group, Enterprise SEO and Web Services</>",</>,</>,<>JHN3Y4757K9TQN0TNV6</>,<>15-1099.04</>,<>Web Developers</>,"<>Seeking: Web Developer: PHP/MySQL, JavaScript, CSS, Wordpress Don't miss your chance to join a ...   Majors or equivalent real-world experience...</>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN3Y4757K9TQN0TNV6</>,<>https://api.careerbuilder.com/v1/job?DID=JHN3Y4757K9TQN0TNV6&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - San Diego</>,<>32.77693</>,<>-117.13874</>,<>7/3/2014 8:03:10 PM</>,<>$55.00 - $75.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN3Y4757K9TQN0TNV6</>,"<>Web Programmer / Developer: PHP/MySQL, JavaScript, CSS, Wordpress VIRTUAL/REMOTE</>",<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>mysql</Skill>
        <Skill>qa</Skill>
        <Skill>web development</Skill>
        <Skill>html5</Skill>
        <Skill>web service</Skill>
        <Skill>html</Skill>
        <Skill>database</Skill>
        <Skill>reverse proxy</Skill>
        <Skill>javascript</Skill>
        <Skill>bash</Skill>
        <Skill>User Interface design</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>User Interface</Skill>
        <Skill>google analytics</Skill>
        <Skill>apache tomcat</Skill>
        <Skill>apache subversion</Skill>
        <Skill>perl</Skill>
        <Skill>Chrome</Skill>
        <Skill>web design</Skill>
        <Skill>sql</Skill>
        <Skill>wordpress</Skill>
        <Skill>search engine optimization</Skill>
        <Skill>amazon elastic compute cloud</Skill>
        <Skill>DNS</Skill>
        <Skill>application programming interface</Skill>
        <Skill>php</Skill>
        <Skill>http secure</Skill>
        <Skill>search engine marketing</Skill>
      </>"
<>Kforce Technology</>,<>chn42x5vt1w3t20jrly</>,<>http://www.careerbuilder.com/jobs/company/chn42x5vt1w3t20jrly/kforce-technology?sc_cmp1=13_JobRes_ComDet</>,<>JHN0WY5XTCFM85FVSKC</>,<>15-1099.04</>,<>Web Developers</>,<>Scope: The team is working on building out a brand new UI via responsive design utilizing CSS3 ...  Skills Needed: HTML CSS jQuery ... </>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN0WY5XTCFM85FVSKC</>,<>https://api.careerbuilder.com/v1/job?DID=JHN0WY5XTCFM85FVSKC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WA - Seattle</>,<>47.76137</>,<>-122.20562</>,<>7/24/2014 1:13:57 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN0WY5XTCFM85FVSKC</>,<>UI developer (HTML/CSS/jQuery)</>,<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>jquery</Skill>
        <Skill>User Interface design</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Visionaire Partners</>,<>chq2zv70wt1b3g3f5df</>,<>http://www.careerbuilder.com/jobs/company/chq2zv70wt1b3g3f5df/visionaire-partners?sc_cmp1=13_JobRes_ComDet</>,<>JHP2SV6GMF8SJST4Y6S</>,<>15-1099.04</>,<>Web Developers</>,"<>UX Designer - Agile - HTML5, CSS/LESS Are you a strong UX Designer looking to work in a fast ...  UX Design / Architecture - 5-7 years Agile Scrum - 1...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP2SV6GMF8SJST4Y6S</>,<>https://api.careerbuilder.com/v1/job?DID=JHP2SV6GMF8SJST4Y6S&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Alpharetta</>,<>34.07537</>,<>-84.29455</>,<>7/2/2014 4:54:00 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP2SV6GMF8SJST4Y6S</>,"<>UX Designer - Agile - HTML5, CSS/LESS</>",<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>User Experience</Skill>
        <Skill>scrum (development)</Skill>
      </>"
<>Creative Circle</>,<>c8a2zq627blkmtkg7sy</>,<>http://www.careerbuilder.com/jobs/company/c8a2zq627blkmtkg7sy/creative-circle?sc_cmp1=13_JobRes_ComDet</>,<>JHV6YC64872RZRPCYPX</>,<>15-1099.04</>,<>Web Developers</>,<>Our client is looking for a talented HTML/ CSS Developer to join their team. Responsibilities ...  - Must have 2+ years of web development including...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV6YC64872RZRPCYPX</>,<>https://api.careerbuilder.com/v1/job?DID=JHV6YC64872RZRPCYPX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Houston</>,<>29.7347</>,<>-95.4155</>,<>7/1/2014 5:13:53 PM</>,<>$20.00 - $25.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV6YC64872RZRPCYPX</>,<>HTML/CSS Developer</>,<>CanBulkApply</>,"<>
        <Skill>web development</Skill>
        <Skill>html</Skill>
        <Skill>xml</Skill>
        <Skill>LAMP</Skill>
        <Skill>adobe creative suite</Skill>
        <Skill>php</Skill>
      </>"
"<>Harmer Consultants, Inc.</>",<>chv2346fvcb37hpypy4</>,<>http://www.careerbuilder.com/jobs/company/chv2346fvcb37hpypy4/harmer-consultants-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHV2XB5Y98M77WMDD3H</>,<>15-1099.04</>,<>Web Developers</>,"<> &amp; jQuery Expert knowledge of HTML5 and CSS3 Familiarity with SVG, HTML5 Canvas Experience using version ... </>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV2XB5Y98M77WMDD3H</>,<>https://api.careerbuilder.com/v1/job?DID=JHV2XB5Y98M77WMDD3H&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88415</>,<>-87.63241</>,<>7/9/2014 4:05:26 PM</>,<>$40.00 - $70.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV2XB5Y98M77WMDD3H</>,"<>Front End Developer - JavaScript, jQuery, CSS, HTML</>",<>CanBulkApply</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>agile software development</Skill>
        <Skill>java platform, enterprise edition</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>document object model</Skill>
        <Skill>IL (network protocol)</Skill>
        <Skill>mvc</Skill>
        <Skill>web design</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>ajax</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
</>,</>,</>,<>JHV3RT6130V78NH3HSZ</>,<>15-1099.04</>,<>Web Developers</>,"<> working knowledge of JQuery, CSS, and HTML5 ensuring multi-browser capability. - Strong experience in non ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV3RT6130V78NH3HSZ</>,<>https://api.careerbuilder.com/v1/job?DID=JHV3RT6130V78NH3HSZ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Schaumburg</>,<>42.0114</>,<>-88.0938</>,<>7/14/2014 1:03:03 AM</>,<>$80.00 - $85.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV3RT6130V78NH3HSZ</>,<>UI Developer (CSS - JQuery - XML)</>,<>CanBulkApply</>,"<>
        <Skill>html5</Skill>
        <Skill>xsl</Skill>
        <Skill>html</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>User Interface design</Skill>
        <Skill>document object model</Skill>
        <Skill>User Interface</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>jsp</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>scrum (development)</Skill>
      </>"
<>Unitek Global Services</>,<>chs0gc76jrzx9vf0tk4</>,<>http://www.careerbuilder.com/jobs/company/chs0gc76jrzx9vf0tk4/unitek-global-services?sc_cmp1=13_JobRes_ComDet</>,<>JHQ87S5Z7K2PK2QWPXH</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ87S5Z7K2PK2QWPXH</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ87S5Z7K2PK2QWPXH&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>PA - Blue Bell</>,<>40.1575</>,<>-75.2796</>,<>7/17/2014 1:10:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ87S5Z7K2PK2QWPXH</>,<>JavaScript/CSS Developer</>,<>HasAOReview</>,"<>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>oracle database</Skill>
        <Skill>Unified Modeling Language</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>netbeans</Skill>
        <Skill>jquery</Skill>
        <Skill>bash</Skill>
        <Skill>software development</Skill>
        <Skill>junit</Skill>
        <Skill>eclipse</Skill>
        <Skill>microsoft office</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>systems analysis</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>postgresql</Skill>
        <Skill>windows powershell</Skill>
        <Skill>xslt</Skill>
        <Skill>sql</Skill>
      </>"
<>Unitek Global Services</>,<>chs0gc76jrzx9vf0tk4</>,<>http://www.careerbuilder.com/jobs/company/chs0gc76jrzx9vf0tk4/unitek-global-services?sc_cmp1=13_JobRes_ComDet</>,<>JB753C77LRZKHC3HCH1</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB753C77LRZKHC3HCH1</>,<>https://api.careerbuilder.com/v1/job?DID=JB753C77LRZKHC3HCH1&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>PA - Relocate to Blue Bell, PA</>",<>40.25993</>,<>-76.88234</>,<>7/17/2014 1:10:02 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB753C77LRZKHC3HCH1</>,<>JavaScript/CSS Developer</>,<>HasAOReview</>,"<>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>oracle database</Skill>
        <Skill>Unified Modeling Language</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>netbeans</Skill>
        <Skill>jquery</Skill>
        <Skill>bash</Skill>
        <Skill>software development</Skill>
        <Skill>junit</Skill>
        <Skill>eclipse</Skill>
        <Skill>microsoft office</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>systems analysis</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>postgresql</Skill>
        <Skill>windows powershell</Skill>
        <Skill>xslt</Skill>
        <Skill>sql</Skill>
        <Skill>Blue (queue management algorithm)</Skill>
      </>"
<>Unitek Global Services</>,<>chs0gc76jrzx9vf0tk4</>,<>http://www.careerbuilder.com/jobs/company/chs0gc76jrzx9vf0tk4/unitek-global-services?sc_cmp1=13_JobRes_ComDet</>,<>JB75KW62TQG4BT3WXQD</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB75KW62TQG4BT3WXQD</>,<>https://api.careerbuilder.com/v1/job?DID=JB75KW62TQG4BT3WXQD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>PA - Relocate to Blue Bell, PA</>",<>40.43833</>,<>-79.99746</>,<>7/17/2014 1:10:02 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB75KW62TQG4BT3WXQD</>,<>JavaScript/CSS Developer</>,<>HasAOReview</>,"<>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>oracle database</Skill>
        <Skill>Unified Modeling Language</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>netbeans</Skill>
        <Skill>jquery</Skill>
        <Skill>bash</Skill>
        <Skill>software development</Skill>
        <Skill>junit</Skill>
        <Skill>eclipse</Skill>
        <Skill>microsoft office</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>systems analysis</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>postgresql</Skill>
        <Skill>windows powershell</Skill>
        <Skill>xslt</Skill>
        <Skill>sql</Skill>
        <Skill>Blue (queue management algorithm)</Skill>
      </>"
