Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Rhythm Engineering</>,</>,</>,<>JHV0ZS61WFF76GF99B7</>,<>15-1041.00</>,<>Computer Support Specialists</>,<>? Rhythm Engineering is looking for a Computer Technician to provide technical support for our customers in ...   troubleshoot and repair hardware and...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV0ZS61WFF76GF99B7</>,<>https://api.careerbuilder.com/v1/job?DID=JHV0ZS61WFF76GF99B7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>KS - Kansas City</>,<>38.9562</>,<>-94.7433</>,<>7/2/2014 3:53:48 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV0ZS61WFF76GF99B7</>,<>Computer Technician</>,<>IsExternal</>,"<>
        <Skill>software development</Skill>
        <Skill>cryptographic protocol</Skill>
        <Skill>private network</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>virtual private network</Skill>
        <Skill>remote desktop protocol</Skill>
      </>"
<>Core-Mark</>,<>chp2jf5y1tv48zthkjh</>,<>http://www.careerbuilder.com/jobs/company/chp2jf5y1tv48zthkjh/core-mark?sc_cmp1=13_JobRes_ComDet</>,<>JB701Y6M1VNQ7MCV226</>,<>43-9011.00</>,<>Computer Operators</>,"<>Job is located in Schertz, TX. Title: Computer Room Operator / Inventory Auditor Shift ...  -including refrigerated and frozen departments Basic...</>",</>,<>Full-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB701Y6M1VNQ7MCV226</>,<>https://api.careerbuilder.com/v1/job?DID=JB701Y6M1VNQ7MCV226&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>TX - Relocate to Schertz, TX</>",<>29.42449</>,<>-98.49462</>,<>7/3/2014 9:32:34 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB701Y6M1VNQ7MCV226</>,<>Computer Operator / Inventory Auditor</>,<>HasScreener</>,"<>
        <Skill>Enterprise resource planning</Skill>
      </>"
<>Core-Mark</>,<>chp2jf5y1tv48zthkjh</>,<>http://www.careerbuilder.com/jobs/company/chp2jf5y1tv48zthkjh/core-mark?sc_cmp1=13_JobRes_ComDet</>,<>JB76CM6S5LWSXN1F4XY</>,<>43-9011.00</>,<>Computer Operators</>,"<>Job is located in Schertz, TX. Title: Computer Room Operator / Inventory Auditor Shift ...  -including refrigerated and frozen departments Basic...</>",</>,<>Full-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB76CM6S5LWSXN1F4XY</>,<>https://api.careerbuilder.com/v1/job?DID=JB76CM6S5LWSXN1F4XY&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>TX - Relocate to Schertz, TX</>",<>29.42449</>,<>-98.49462</>,<>7/3/2014 9:32:12 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB76CM6S5LWSXN1F4XY</>,<>Computer Operator / Inventory Auditor</>,<>HasScreener</>,"<>
        <Skill>Enterprise resource planning</Skill>
      </>"
<>CMIT Solutions</>,</>,</>,<>JHV0286BT0T7662X8GC</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>Senior Computer Systems Engineer (Fairfield County, CT) CMIT Solutions of Central Fairfield ...   detail and quality of work Proven experience...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV0286BT0T7662X8GC</>,<>https://api.careerbuilder.com/v1/job?DID=JHV0286BT0T7662X8GC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Fairfield</>,<>41.14187</>,<>-73.25121</>,<>7/25/2014 9:24:56 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV0286BT0T7662X8GC</>,<>Senior Computer Systems Engineer</>,<>CanBulkApply</>,"<>
        <Skill>qa</Skill>
        <Skill>microsoft sharepoint</Skill>
        <Skill>local area network</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>active directory</Skill>
        <Skill>vmware</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>systems engineering</Skill>
        <Skill>virtual private network</Skill>
        <Skill>sql</Skill>
        <Skill>DNS</Skill>
        <Skill>computer security</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>CB&amp;I</>,</>,</>,<>JHV45D68FQPGH75K6HL</>,<>43-9011.00</>,<>Computer Operators</>,"<>The Computer Operator Lead will work individually and within a team of Computer Operators in ...  , practices and techniques of computer operations....</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV45D68FQPGH75K6HL</>,<>https://api.careerbuilder.com/v1/job?DID=JHV45D68FQPGH75K6HL&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - The Woodlands</>,<>30.1344</>,<>-95.4685</>,<>7/2/2014 1:10:23 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV45D68FQPGH75K6HL</>,<>Computer Operator Lead</>,<>IsExternal</>,"<>
        <Skill>Microsoft Windows</Skill>
      </>"
<>CB&amp;I</>,</>,</>,<>JHP2696CNSDJ8BDMSLF</>,<>43-9011.00</>,<>Computer Operators</>,<>The Computer Operator will work individually and within a team of Computer Operators in the ...   techniques of computer operations. Knowledge of job...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP2696CNSDJ8BDMSLF</>,<>https://api.careerbuilder.com/v1/job?DID=JHP2696CNSDJ8BDMSLF&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - The Woodlands</>,<>30.1344</>,<>-95.4685</>,<>7/2/2014 1:01:45 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP2696CNSDJ8BDMSLF</>,<>Computer Operator</>,<>IsExternal</>,"<>
        <Skill>Microsoft Windows</Skill>
      </>"
<>Benchmark Senior Living</>,<>c8h29z71hbds1tnvlcb</>,<>http://www.careerbuilder.com/jobs/company/c8h29z71hbds1tnvlcb/benchmark-senior-living?sc_cmp1=13_JobRes_ComDet</>,<>JHV82M67YTR3SJ605LP</>,<>25-1194.00</>,"<>Vocational Education Teachers, Postsecondary</>","<> our computers as well as teaches residents and families about our internal computer program, Benchmark ...  Computer Learning Teacher - Part Time...</>",</>,<>Full-Time/Part-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV82M67YTR3SJ605LP</>,<>https://api.careerbuilder.com/v1/job?DID=JHV82M67YTR3SJ605LP&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NH - Nashua</>,<>42.7215</>,<>-71.4954</>,<>7/23/2014 1:19:56 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV82M67YTR3SJ605LP</>,<>Computer Learning Teacher - Part Time</>,<>CanBulkApply</>,</>
<>Benchmark Senior Living</>,<>c8h29z71hbds1tnvlcb</>,<>http://www.careerbuilder.com/jobs/company/c8h29z71hbds1tnvlcb/benchmark-senior-living?sc_cmp1=13_JobRes_ComDet</>,<>JHR1ZJ68LBNKVM5RN9P</>,<>25-1194.00</>,"<>Vocational Education Teachers, Postsecondary</>","<> our computers as well as teaches residents and families about our internal computer program, Benchmark ...  Computer Learning Teacher - Part Time...</>",</>,<>Full-Time/Part-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR1ZJ68LBNKVM5RN9P</>,<>https://api.careerbuilder.com/v1/job?DID=JHR1ZJ68LBNKVM5RN9P&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Centerville</>,<>41.663</>,<>-70.346</>,<>7/17/2014 1:02:56 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR1ZJ68LBNKVM5RN9P</>,<>Computer Learning Teacher - Part Time</>,<>CanBulkApply</>,</>
<>Collabera Inc.</>,<>c8a5z874t503m6w7ghf</>,<>http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHV81N6N96FK2F6S19Z</>,<>15-1041.00</>,<>Computer Support Specialists</>,<> Technician/Computer Technician/Desktop Technician Job Duration: 06 Months + Required Skills: 5+ years ...   Technician/Computer Technician/Desktop...</>,</>,<>Full-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV81N6N96FK2F6S19Z</>,<>https://api.careerbuilder.com/v1/job?DID=JHV81N6N96FK2F6S19Z&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Pleasanton</>,<>37.692</>,<>-121.8937</>,<>7/10/2014 3:31:12 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV81N6N96FK2F6S19Z</>,<>PC Technician/Computer Technician/Desktop Technician</>,<>CanBulkApply</>,"<>
        <Skill>activity diagram</Skill>
      </>"
<>Buzzi Unicem USA</>,</>,</>,<>JHQ5LC6Y48R3TG0TGQB</>,<>15-1041.00</>,<>Computer Support Specialists</>,<>PERSONAL COMPUTER ADMINISTRATOR We are looking for a Personal Computer Administrator to join ...  PERSONAL COMPUTER ADMINISTRATOR Skills the Candidate...</>,</>,<>Full-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ5LC6Y48R3TG0TGQB</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ5LC6Y48R3TG0TGQB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>PA - Allentown</>,<>40.6607</>,<>-75.3902</>,<>7/14/2014 2:11:02 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ5LC6Y48R3TG0TGQB</>,<>Personal Computer Administrator</>,<>HasAOReview</>,"<>
        <Skill>POST (HTTP)</Skill>
      </>"
