Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Extreme Technologies</>,<>chl2yy64mkbqbyq24v5</>,<>http://www.careerbuilder.com/jobs/company/chl2yy64mkbqbyq24v5/extreme-technologies?sc_cmp1=13_JobRes_ComDet</>,<>JHN1PF78LL6PG9JKGSC</>,<>13-2011.02</>,<>Auditors</>,"<> are looking for: Working under the direction of the Internal Audit Management team, the internal IT ...  Skills needed to be successful in this...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN1PF78LL6PG9JKGSC</>,<>https://api.careerbuilder.com/v1/job?DID=JHN1PF78LL6PG9JKGSC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Houston</>,<>29.76045</>,<>-95.36978</>,<>7/19/2014 1:07:15 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN1PF78LL6PG9JKGSC</>,<>IT Auditor Analyst</>,<>CanBulkApply</>,"<>
        <Skill>Problem solving</Skill>
        <Skill>Information technology controls</Skill>
        <Skill>Risk management</Skill>
        <Skill>Cost-effectiveness analysis</Skill>
        <Skill>Mathematical optimization</Skill>
        <Skill>Audit</Skill>
        <Skill>Internal audit</Skill>
        <Skill>Information technology audit</Skill>
        <Skill>Audit Management</Skill>
        <Skill>Marketing</Skill>
        <Skill>Procurement</Skill>
        <Skill>Consulting</Skill>
      </>"
<>Ranger Technical Resources</>,<>chn4zc60wyd67c5p0vy</>,<>http://www.careerbuilder.com/jobs/company/chn4zc60wyd67c5p0vy/ranger-technical-resources?sc_cmp1=13_JobRes_ComDet</>,<>JHL17C752200HZZ8FZ1</>,<>13-1071.02</>,<>Personnel Recruiters</>,"<>IT Talent Acquisition Specialist #720 Position Summary The role of IT Talent Acquisition ...   IT professional services firm founded in 1996, Ranger...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL17C752200HZZ8FZ1</>,<>https://api.careerbuilder.com/v1/job?DID=JHL17C752200HZZ8FZ1&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Fort Lauderdale</>,<>26.12367</>,<>-80.14356</>,<>7/24/2014 10:01:52 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL17C752200HZZ8FZ1</>,<>IT Talent Acquisition Specialist</>,<>CanBulkApply</>,"<>
        <Skill>Interpersonal skills</Skill>
        <Skill>Business intelligence</Skill>
        <Skill>Electronic commerce</Skill>
        <Skill>Applicant tracking system</Skill>
        <Skill>Business development</Skill>
        <Skill>Applicant tracking systems</Skill>
        <Skill>Information technology consulting</Skill>
        <Skill>Marketing</Skill>
        <Skill>Business Correspondence</Skill>
        <Skill>Customer relationship management</Skill>
        <Skill>Consulting</Skill>
      </>"
"<>Trulife, Inc.</>",</>,</>,<>JHV2Q97252XYM3W6V6D</>,<>15-1041.00</>,<>Computer Support Specialists</>,<> close to 600 people and exports to over 80 countries. We are seeking an experienced IT Help Desk Manager ...  Minimum 5 years experience in...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV2Q97252XYM3W6V6D</>,<>https://api.careerbuilder.com/v1/job?DID=JHV2Q97252XYM3W6V6D&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WA - Kitsap Peninsula</>,<>47.7571</>,<>-122.6233</>,<>7/24/2014 3:15:35 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV2Q97252XYM3W6V6D</>,<>IT Help Desk Manager</>,<>HasScreener</>,"<>
        <Skill>computer security</Skill>
      </>"
<>Extreme Technologies</>,<>chl2yy64mkbqbyq24v5</>,<>http://www.careerbuilder.com/jobs/company/chl2yy64mkbqbyq24v5/extreme-technologies?sc_cmp1=13_JobRes_ComDet</>,<>JHQ2Y95YGFJWCCXGCFN</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ2Y95YGFJWCCXGCFN</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ2Y95YGFJWCCXGCFN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Houston</>,<>29.76045</>,<>-95.36978</>,<>7/22/2014 12:02:48 PM</>,<>$190k - $230k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ2Y95YGFJWCCXGCFN</>,<>Senior IT Enterprise Architect - Business Analyst / IT Advisor</>,<>HasAOReview</>,"<>
        <Skill>operator yapo</Skill>
        <Skill>change management</Skill>
      </>"
<>Salisbury Bank and Trust </>,</>,</>,<>JHN0566K814FLRCWHVG</>,<>15-1041.00</>,<>Computer Support Specialists</>,<> our IT support operations. ...   ready to work for an organization that takes as much pride in its employees as it does in its customers ... </>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN0566K814FLRCWHVG</>,<>https://api.careerbuilder.com/v1/job?DID=JHN0566K814FLRCWHVG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Lakeville</>,<>41.96427</>,<>-73.44047</>,<>6/30/2014 10:46:23 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN0566K814FLRCWHVG</>,<>IT Specialist</>,<>CanBulkApply</>,"<>
        <Skill>microsoft windows</Skill>
        <Skill>fax</Skill>
      </>"
<>Govplace</>,</>,</>,<>JHR78K5WYPDQFPHQRT4</>,<>11-2021.00</>,<>Marketing Managers</>,"<>Product Manager - XaaS Govplace is hiring an IT-as-a-Service Product Manager. The Federal IT ...  IT - Service Product Manager Desired Knowledge,...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR78K5WYPDQFPHQRT4</>,<>https://api.careerbuilder.com/v1/job?DID=JHR78K5WYPDQFPHQRT4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>VA - Reston</>,<>38.95937</>,<>-77.35457</>,<>7/15/2014 10:38:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR78K5WYPDQFPHQRT4</>,<>IT Product Manager</>,<>CanBulkApply</>,"<>
        <Skill>Business development</Skill>
        <Skill>Communication</Skill>
        <Skill>Strategic management</Skill>
        <Skill>Innovation</Skill>
        <Skill>Market research</Skill>
      </>"
<>Ranger Technical Resources</>,<>chn4zc60wyd67c5p0vy</>,<>http://www.careerbuilder.com/jobs/company/chn4zc60wyd67c5p0vy/ranger-technical-resources?sc_cmp1=13_JobRes_ComDet</>,<>JHQ8416839FRZS1RTSN</>,<>11-2022.00</>,<>Sales Managers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ8416839FRZS1RTSN</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ8416839FRZS1RTSN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Fort Lauderdale</>,<>26.12367</>,<>-80.14356</>,<>7/24/2014 9:54:39 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ8416839FRZS1RTSN</>,<>Business Development Manager - IT Staffing and Consulting</>,<>IsExternal</>,"<>
        <Skill>Business development</Skill>
        <Skill>Customer service</Skill>
        <Skill>Microsoft Excel</Skill>
        <Skill>Account Development</Skill>
        <Skill>Communication</Skill>
        <Skill>Problem Solving</Skill>
        <Skill>Microsoft Outlook</Skill>
        <Skill>Social media</Skill>
        <Skill>Microsoft PowerPoint</Skill>
        <Skill>Business Requirements</Skill>
        <Skill>Microsoft Office</Skill>
        <Skill>Innovation</Skill>
        <Skill>Forecasting</Skill>
        <Skill>Strategic planning</Skill>
        <Skill>Facilitation</Skill>
        <Skill>Client Service</Skill>
      </>"
<>OtterBase</>,<>chp38j6vwbtj45l2p1c</>,<>http://www.careerbuilder.com/jobs/company/chp38j6vwbtj45l2p1c/otterbase?sc_cmp1=13_JobRes_ComDet</>,<>JHQ0WF6LGGSSTTGWNK2</>,<>15-1071.01</>,<>Computer Security Specialists</>,<>Our client is seeking an experienced cyber-defense professional to join our global IT Security ...  Responsibilities/Duties Act as an IS/IT liaison...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ0WF6LGGSSTTGWNK2</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ0WF6LGGSSTTGWNK2&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88415</>,<>-87.63241</>,<>7/10/2014 11:19:57 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ0WF6LGGSSTTGWNK2</>,<>IT Security Analyst</>,<>CanBulkApply</>,"<>
        <Skill>cisco systems</Skill>
        <Skill>six sigma</Skill>
        <Skill>cobit</Skill>
        <Skill>IL (network protocol)</Skill>
        <Skill>active directory</Skill>
        <Skill>sdlc</Skill>
        <Skill>iso/iec 27001</Skill>
        <Skill>quality of service</Skill>
        <Skill>computer security</Skill>
      </>"
<>Ranger Technical Resources</>,<>chn4zc60wyd67c5p0vy</>,<>http://www.careerbuilder.com/jobs/company/chn4zc60wyd67c5p0vy/ranger-technical-resources?sc_cmp1=13_JobRes_ComDet</>,<>JHL7F36W4F36WC69PPM</>,<>15-1099.02</>,<>Computer Systems Engineers/Architects</>,<>IT Enterprise Architect #704 Position Summary The scope of this position includes leading ...   understanding short and long term business plans and...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL7F36W4F36WC69PPM</>,<>https://api.careerbuilder.com/v1/job?DID=JHL7F36W4F36WC69PPM&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NJ - Princeton</>,<>40.349</>,<>-74.659</>,<>7/7/2014 2:48:49 PM</>,<>$150k - $170k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL7F36W4F36WC69PPM</>,<>IT Enterprise Architect</>,<>CanBulkApply</>,"<>
        <Skill>max</Skill>
        <Skill>oracle database</Skill>
        <Skill>evolution (software)</Skill>
        <Skill>six sigma</Skill>
      </>"
<>Systems Security Services</>,</>,</>,<>JHV77S6BTZCQKWC1J0R</>,<>13-2011.02</>,<>Auditors</>,"<>Systems Security Services is seeking IT Auditor's for positions nationwide. Many positions, of ...  -Experience / understanding of IT General Controls...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV77S6BTZCQKWC1J0R</>,<>https://api.careerbuilder.com/v1/job?DID=JHV77S6BTZCQKWC1J0R&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Columbia</>,<>39.2006</>,<>-76.824</>,<>6/29/2014 1:04:21 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV77S6BTZCQKWC1J0R</>,<>IT Auditor (Nationwide)</>,<>CanBulkApply</>,"<>
        <Skill>Problem solving</Skill>
        <Skill>Internal control</Skill>
        <Skill>Information technology controls</Skill>
        <Skill>Technical analysis</Skill>
        <Skill>Audit</Skill>
        <Skill>Internal audit</Skill>
        <Skill>Economics</Skill>
        <Skill>Information technology audit</Skill>
        <Skill>SOX</Skill>
        <Skill>Financial audit</Skill>
        <Skill>Records management</Skill>
        <Skill>Flow network</Skill>
        <Skill>Regulatory requirement</Skill>
      </>"
