Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Collabera Inc.</>,<>c8a5z874t503m6w7ghf</>,<>http://www.careerbuilder.com/jobs/company/c8a5z874t503m6w7ghf/collabera-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHS20X5X4BHR6KPLDKW</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>One of our Fortune 100 financial clients is looking for Python Developer experience t o work ... </>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS20X5X4BHR6KPLDKW</>,<>https://api.careerbuilder.com/v1/job?DID=JHS20X5X4BHR6KPLDKW&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - New York</>,<>40.7059</>,<>-74.0086</>,<>7/18/2014 11:32:22 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS20X5X4BHR6KPLDKW</>,<>Python Developer</>,<>CanBulkApply</>,"<>
        <Skill>python (programming language)</Skill>
      </>"
<>NWN Corporation</>,<>c8h4416mhg0y2160pc7</>,<>http://www.careerbuilder.com/jobs/company/c8h4416mhg0y2160pc7/nwn-corporation?sc_cmp1=13_JobRes_ComDet</>,<>JB71C967KGQNZCSXW5X</>,<>15-1021.00</>,<>Computer Programmers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71C967KGQNZCSXW5X</>,<>https://api.careerbuilder.com/v1/job?DID=JB71C967KGQNZCSXW5X&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - New York</>,<>40.71455</>,<>-74.00712</>,<>7/8/2014 3:45:40 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71C967KGQNZCSXW5X</>,<>SAS Model Implementer _ Python Programmer</>,<>CanBulkApply</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>data warehouse</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>data management</Skill>
        <Skill>SAS</Skill>
      </>"
<>NWN Corporation</>,<>c8h4416mhg0y2160pc7</>,<>http://www.careerbuilder.com/jobs/company/c8h4416mhg0y2160pc7/nwn-corporation?sc_cmp1=13_JobRes_ComDet</>,<>JHT7KW69M38H6ZFY6PK</>,<>15-1021.00</>,<>Computer Programmers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT7KW69M38H6ZFY6PK</>,<>https://api.careerbuilder.com/v1/job?DID=JHT7KW69M38H6ZFY6PK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Columbus</>,<>39.96196</>,<>-83.00298</>,<>7/8/2014 3:45:40 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT7KW69M38H6ZFY6PK</>,<>SAS Model Implementer _ Python Programmer</>,<>CanBulkApply</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>data warehouse</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>data management</Skill>
        <Skill>SAS</Skill>
      </>"
<>Emerald Resource Group</>,<>chq4hb63lrlc57h3wy9</>,<>http://www.careerbuilder.com/jobs/company/chq4hb63lrlc57h3wy9/emerald-resource-group?sc_cmp1=13_JobRes_ComDet</>,<>JHM7SD79VD0QQGHV3X4</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>Python Tools Developer Location: Morrisville, NC Salary: Up to 95K Immigration: US Citizens ...  Requirements for the Python Tools Developer: Four...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM7SD79VD0QQGHV3X4</>,<>https://api.careerbuilder.com/v1/job?DID=JHM7SD79VD0QQGHV3X4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Morrisville</>,<>35.82305</>,<>-78.83015</>,<>7/17/2014 2:30:45 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM7SD79VD0QQGHV3X4</>,<>Python Tools Developer</>,<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>mysql</Skill>
        <Skill>html5</Skill>
        <Skill>javascript</Skill>
        <Skill>Linux</Skill>
        <Skill>perl</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>Joomla</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>c++</Skill>
      </>"
"<>Technology Consulting, Inc.</>",<>chm54l6sx22p1k6mbqw</>,<>http://www.careerbuilder.com/jobs/company/chm54l6sx22p1k6mbqw/technology-consulting-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHL7YB67221B7FTRNP7</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>TCI has an immediate need for a Full Stack (Python) Web Application Developer in ...  , Python, Ruby, and/or .NET MVC. Demonstrated proficiency with...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL7YB67221B7FTRNP7</>,<>https://api.careerbuilder.com/v1/job?DID=JHL7YB67221B7FTRNP7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IN - Jeffersonville</>,<>38.27913</>,<>-85.73747</>,<>7/9/2014 10:19:45 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL7YB67221B7FTRNP7</>,<>Python Developer</>,<>HasScreener</>,"<>
        <Skill>html</Skill>
        <Skill>x window system</Skill>
        <Skill>database</Skill>
        <Skill>javascript</Skill>
        <Skill>stored procedure</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>mvc</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>ruby on rails</Skill>
        <Skill>php</Skill>
        <Skill>mercurial</Skill>
      </>"
<>Merchant Link</>,</>,</>,<>JHR75T69PG4D1W8Y7HN</>,<>15-1021.00</>,<>Computer Programmers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR75T69PG4D1W8Y7HN</>,<>https://api.careerbuilder.com/v1/job?DID=JHR75T69PG4D1W8Y7HN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Silver Spring</>,<>38.99489</>,<>-77.03161</>,<>7/10/2014 12:42:11 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR75T69PG4D1W8Y7HN</>,<>Python Developers</>,<>CanBulkApply</>,"<>
        <Skill>gateway (telecommunications)</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>bash</Skill>
        <Skill>software development</Skill>
        <Skill>Linux</Skill>
        <Skill>sdlc</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>c++</Skill>
        <Skill>unix</Skill>
      </>"
<>HireNetworks</>,<>c8b61z67mwrqs4r88nj</>,<>http://www.careerbuilder.com/jobs/company/c8b61z67mwrqs4r88nj/hirenetworks?sc_cmp1=13_JobRes_ComDet</>,<>JB71FL7413JLCQ18ZRF</>,<>15-1021.00</>,<>Computer Programmers</>,<>Python Developer The Python Developer role is a direct hire opportunity with one of our ...  Requirements of the Python Developer: Web oriented Python...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71FL7413JLCQ18ZRF</>,<>https://api.careerbuilder.com/v1/job?DID=JB71FL7413JLCQ18ZRF&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Durham</>,<>35.78933</>,<>-78.78117</>,<>7/7/2014 1:04:58 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71FL7413JLCQ18ZRF</>,<>Python Developer</>,<>HasScreener</>,"<>
        <Skill>message passing</Skill>
        <Skill>User Interface design</Skill>
        <Skill>microsoft word</Skill>
        <Skill>python (programming language)</Skill>
      </>"
</>,</>,<>JHP63G6FHV9Y0T42B49</>,<>15-1099.04</>,<>Web Developers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP63G6FHV9Y0T42B49</>,<>https://api.careerbuilder.com/v1/job?DID=JHP63G6FHV9Y0T42B49&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Dallas/Fort Worth Metroplex</>,<>32.8798</>,<>-97.0002</>,<>7/22/2014 12:26:32 AM</>,<>$50k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP63G6FHV9Y0T42B49</>,"<>Software Application Developers (PHP, Python, DB2 AND Java or JQuery)</>",<>HasAOReview</>,"<>
        <Skill>apache http server</Skill>
        <Skill>html5</Skill>
        <Skill>quality assurance</Skill>
        <Skill>html</Skill>
        <Skill>database</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>User Interface design</Skill>
        <Skill>Linux</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>php</Skill>
        <Skill>http secure</Skill>
      </>"
<>Crescent Solutions</>,<>chp6vr61846d48yk0qk</>,<>http://www.careerbuilder.com/jobs/company/chp6vr61846d48yk0qk/crescent-solutions?sc_cmp1=13_JobRes_ComDet</>,<>JHT2QJ5VNDPSPXYZB54</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>Description Are you a developer interested in automation and Python? Client is developing the ...  Requirements Demonstrable knowledge of distributed...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT2QJ5VNDPSPXYZB54</>,<>https://api.careerbuilder.com/v1/job?DID=JHT2QJ5VNDPSPXYZB54&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Aliso Viejo</>,<>33.5767</>,<>-117.7127</>,<>7/9/2014 1:30:08 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT2QJ5VNDPSPXYZB54</>,<>software engineer - Python</>,<>HasAOReview</>,"<>
        <Skill>representational state transfer</Skill>
        <Skill>software documentation</Skill>
        <Skill>Unified Modeling Language</Skill>
        <Skill>database</Skill>
        <Skill>nosql</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>github</Skill>
        <Skill>integration testing</Skill>
        <Skill>unit testing</Skill>
      </>"
<>AMS Staffing Solutions</>,<>cht01v6tg04602zck6y</>,<>http://www.careerbuilder.com/jobs/company/cht01v6tg04602zck6y/ams-staffing-solutions?sc_cmp1=13_JobRes_ComDet</>,<>JHP3DJ64NW2NXN659HC</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<> interested in this Python Developer / PHP Developer / LAMP Developer opening in Chicago, IL 60606. Client is ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP3DJ64NW2NXN659HC</>,<>https://api.careerbuilder.com/v1/job?DID=JHP3DJ64NW2NXN659HC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.8818</>,<>-87.6367</>,<>6/30/2014 4:48:09 PM</>,<>$90k - $105k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP3DJ64NW2NXN659HC</>,<>Senior Python Developer</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>web service</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>xml</Skill>
        <Skill>LAMP</Skill>
        <Skill>microsoft word</Skill>
        <Skill>nosql</Skill>
        <Skill>Linux</Skill>
        <Skill>IL (network protocol)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>application programming interface</Skill>
        <Skill>json</Skill>
        <Skill>php</Skill>
        <Skill>xhtml</Skill>
      </>"
