Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Forte Research Systems</>,</>,</>,<>JHV61H6HBJQLQ1H2Q8D</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>Forte Research Systems is an industry leader providingtechnology solutions to manage clinical ...  : Bachelors Degree in Information Systems, Computer...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV61H6HBJQLQ1H2Q8D</>,<>https://api.careerbuilder.com/v1/job?DID=JHV61H6HBJQLQ1H2Q8D&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WI - Madison</>,<>43.0741</>,<>-89.5084</>,<>7/9/2014 12:21:28 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV61H6HBJQLQ1H2Q8D</>,<>Systems Administrator</>,<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>quality assurance</Skill>
        <Skill>svn</Skill>
        <Skill>oracle database</Skill>
        <Skill>network administrator</Skill>
        <Skill>ssh</Skill>
        <Skill>Linux</Skill>
        <Skill>jboss application server</Skill>
        <Skill>active directory</Skill>
        <Skill>ssl</Skill>
        <Skill>windows server 2008</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>virtual private network</Skill>
        <Skill>routing</Skill>
        <Skill>computer security</Skill>
        <Skill>github</Skill>
        <Skill>red hat</Skill>
        <Skill>unix</Skill>
        <Skill>mercurial</Skill>
      </>"
"<>Metro Systems, Inc.</>",<>chl0fq733hv0mdm3tx2</>,<>http://www.careerbuilder.com/jobs/company/chl0fq733hv0mdm3tx2/metro-systems-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHQ4NX5X9ZP95JFJQ5W</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>Metro Systems is seeking a qualified Systems Administrator to support our client on site at ...   knowledge of systems engineering, network...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ4NX5X9ZP95JFJQ5W</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ4NX5X9ZP95JFJQ5W&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Hanscom Air Force Base</>,<>42.4595</>,<>-71.28282</>,<>7/8/2014 6:11:00 PM</>,<>$75k - $78k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ4NX5X9ZP95JFJQ5W</>,<>Systems Administrator</>,<>CanBulkApply</>,"<>
        <Skill>systems engineering</Skill>
        <Skill>computer security</Skill>
      </>"
"<>INTO Mason, LLC</>",</>,</>,<>JHM3WM6XCRCR7VXGYH7</>,<>11-3021.00</>,<>Computer and Information Systems Managers</>,"<>Systems Manager INTO Mason INTO University Partnerships collaborates with leading universities ...   pressure and, when necessary, with minimal...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM3WM6XCRCR7VXGYH7</>,<>https://api.careerbuilder.com/v1/job?DID=JHM3WM6XCRCR7VXGYH7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>VA - Washington DC</>,<>38.8379</>,<>-77.345</>,<>7/10/2014 2:35:03 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM3WM6XCRCR7VXGYH7</>,<>IT Systems Manager</>,<>IsExternal</>,"<>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>xml</Skill>
        <Skill>data warehouse</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>news</Skill>
        <Skill>systems analysis</Skill>
        <Skill>workflow</Skill>
        <Skill>sql</Skill>
        <Skill>salesforce.com</Skill>
        <Skill>http secure</Skill>
      </>"
<>DISYS</>,<>c7x3336nbg18m66dlvt</>,<>http://www.careerbuilder.com/jobs/company/c7x3336nbg18m66dlvt/disys?sc_cmp1=13_JobRes_ComDet</>,<>JHP61G61DH834ZL9FLB</>,<>15-1051.00</>,<>Computer Systems Analysts</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP61G61DH834ZL9FLB</>,<>https://api.careerbuilder.com/v1/job?DID=JHP61G61DH834ZL9FLB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Durham</>,<>35.8053</>,<>-78.7974</>,<>7/16/2014 10:40:15 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP61G61DH834ZL9FLB</>,<>Business Systems Analyst</>,<>CanBulkApply</>,"<>
        <Skill>Unified Modeling Language</Skill>
        <Skill>ibm software</Skill>
        <Skill>data warehouse</Skill>
        <Skill>shared resource</Skill>
        <Skill>systems analyst</Skill>
      </>"
<>The Institute of Internal Auditors</>,</>,</>,<>JHM4PZ5YQ5SYQNTP47D</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM4PZ5YQ5SYQNTP47D</>,<>https://api.careerbuilder.com/v1/job?DID=JHM4PZ5YQ5SYQNTP47D&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Altamonte Springs</>,<>28.6657</>,<>-81.3692</>,<>7/3/2014 11:13:58 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM4PZ5YQ5SYQNTP47D</>,<>Systems Administrator I</>,<>HasAOReview</>,"<>
        <Skill>microsoft exchange server</Skill>
        <Skill>dynamic host configuration protocol</Skill>
        <Skill>backup exec</Skill>
        <Skill>local area network</Skill>
        <Skill>hyper-v</Skill>
        <Skill>active directory</Skill>
        <Skill>windows server 2008</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>sql</Skill>
        <Skill>DNS</Skill>
        <Skill>computer security</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>Apex Systems</>,<>chq27g5xmzv03djgcx4</>,<>http://www.careerbuilder.com/jobs/company/chq27g5xmzv03djgcx4/apex-systems?sc_cmp1=13_JobRes_ComDet</>,<>JHS7HV69PK5T5T17MLV</>,<>15-1051.00</>,<>Computer Systems Analysts</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS7HV69PK5T5T17MLV</>,<>https://api.careerbuilder.com/v1/job?DID=JHS7HV69PK5T5T17MLV&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - New York</>,<>40.71455</>,<>-74.00712</>,<>7/14/2014 2:28:47 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS7HV69PK5T5T17MLV</>,<>CanBulkApply</>,"<>
        <Skill>computerized physician order entry</Skill>
        <Skill>systems design</Skill>
        <Skill>POST (HTTP)</Skill>
        <Skill>workflow</Skill>
        <Skill>systems analyst</Skill>
      </>"
"<>Software Resources, Inc</>",<>chq0k66v2hshk6mf47m</>,<>http://www.careerbuilder.com/jobs/company/chq0k66v2hshk6mf47m/software-resources-inc?sc_cmp1=13_JobRes_ComDet</>,<>J3F7SC6FVCT2J2V03H2</>,<>17-2112.00</>,<>Industrial Engineers</>,"<>Software Resources, Inc. has an immediate job opportunity available for a Control Systems ...   of facility controls, building automation, power...</>",</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3F7SC6FVCT2J2V03H2</>,<>https://api.careerbuilder.com/v1/job?DID=J3F7SC6FVCT2J2V03H2&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Anaheim</>,<>33.8084</>,<>-117.9237</>,<>7/18/2014 1:26:35 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3F7SC6FVCT2J2V03H2</>,<>Control Systems Engineer Programmer</>,<>CanBulkApply</>,"<>
        <Skill>Control engineering</Skill>
        <Skill>RS-232</Skill>
        <Skill>EIA-485</Skill>
        <Skill>Building automation</Skill>
        <Skill>Filtration</Skill>
        <Skill>SQL</Skill>
        <Skill>Pneumatics</Skill>
        <Skill>Graphics</Skill>
        <Skill>Electrical wiring</Skill>
        <Skill>Systems engineering</Skill>
        <Skill>AutoCAD</Skill>
        <Skill>Data collection</Skill>
        <Skill>Microsoft Access</Skill>
        <Skill>Project management</Skill>
        <Skill>Notification system</Skill>
        <Skill>SCADA</Skill>
        <Skill>Microsoft Excel</Skill>
        <Skill>Microsoft SQL Server</Skill>
        <Skill>Microsoft Word</Skill>
        <Skill>Power management</Skill>
        <Skill>Automation</Skill>
      </>"
<>G.1440</>,<>c8b1xq6zrcd8q02sxfn</>,<>http://www.careerbuilder.com/jobs/company/c8b1xq6zrcd8q02sxfn/g-1440?sc_cmp1=13_JobRes_ComDet</>,<>JHQ43K65DVVD50S4BML</>,<>17-2112.00</>,<>Industrial Engineers</>,"<>Quality Manager- Pharmaceutical Systems Validation One of our customers, a rapidly growing ...   understanding of quality systems. Uses knowledge and...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ43K65DVVD50S4BML</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ43K65DVVD50S4BML&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Gaithersburg</>,<>39.13986</>,<>-77.19382</>,<>7/22/2014 2:25:27 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ43K65DVVD50S4BML</>,<>Quality Manager- Pharmaceutical Systems Validation</>,<>CanBulkApply</>,"<>
        <Skill>Program management</Skill>
        <Skill>Quality assurance</Skill>
        <Skill>Systems Development Life Cycle</Skill>
        <Skill>Technical writing</Skill>
        <Skill>Project management</Skill>
        <Skill>Software development process</Skill>
        <Skill>Management consulting</Skill>
      </>"
<>Christiana Care Health Systems</>,</>,</>,<>JHL02G6MHRJMBKNVLWS</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> environment to create solutions with the most up-to-date tools and systems in the healthcare field. In fact ...  Requirements for Systems Analyst-...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL02G6MHRJMBKNVLWS</>,<>https://api.careerbuilder.com/v1/job?DID=JHL02G6MHRJMBKNVLWS&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>ME - Portland</>,<>43.6616</>,<>-70.2592</>,<>7/10/2014 1:49:02 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL02G6MHRJMBKNVLWS</>,<>Systems Analyst - PowerChart Team</>,<>IsExternal</>,"<>
        <Skill>beta</Skill>
        <Skill>systems analyst</Skill>
      </>"
"<>Cook Systems International, Inc.</>",<>c8c07c6yq129yq8zftq</>,<>http://www.careerbuilder.com/jobs/company/c8c07c6yq129yq8zftq/cook-systems-international-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHP31M70L6N863DZJ72</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>COOK SYSTEMS INTERNATIONAL has an IMMEDIATE need for a Senior Systems Administrator ...   monitoring, verifying the integrity and availability of all...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP31M70L6N863DZJ72</>,<>https://api.careerbuilder.com/v1/job?DID=JHP31M70L6N863DZJ72&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TN - Memphis</>,<>35.14976</>,<>-90.04925</>,<>7/18/2014 12:06:45 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP31M70L6N863DZJ72</>,<>Senior Systems Administrator (Linux)</>,<>CanBulkApply</>,"<>
        <Skill>Linux</Skill>
        <Skill>systems engineering</Skill>
        <Skill>computer security</Skill>
      </>"
