Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Qology</>,</>,</>,<>JB73TC62L0YGX900XTR</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>Business Intelligence Developer This position is responsible for development, support and ...  Business Intelligence Developer REQUIREMENTS:...</>",</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73TC62L0YGX900XTR</>,<>https://api.careerbuilder.com/v1/job?DID=JB73TC62L0YGX900XTR&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Margate</>,<>26.24183</>,<>-80.20407</>,<>7/16/2014 1:01:02 AM</>,<>$90k - $110k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73TC62L0YGX900XTR</>,<>Business Intelligence Developer</>,<>CanBulkApply</>,"<>
        <Skill>.net framework</Skill>
        <Skill>c-sharp</Skill>
        <Skill>ETL</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>R</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
        <Skill>sql server integration services</Skill>
        <Skill>sql server reporting services</Skill>
      </>"
<>Qology</>,</>,</>,<>JHV6MN6349VYP27SWDK</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>Business Intelligence Developer This position is responsible for development, support and ...  Business Intelligence Developer REQUIREMENTS:...</>",</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV6MN6349VYP27SWDK</>,<>https://api.careerbuilder.com/v1/job?DID=JHV6MN6349VYP27SWDK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Fort Lauderdale</>,<>26.18646</>,<>-80.19045</>,<>7/9/2014 1:04:50 AM</>,<>$90k - $110k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV6MN6349VYP27SWDK</>,<>Business Intelligence Developer</>,<>CanBulkApply</>,"<>
        <Skill>.net framework</Skill>
        <Skill>c-sharp</Skill>
        <Skill>ETL</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>R</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
        <Skill>sql server integration services</Skill>
        <Skill>sql server reporting services</Skill>
      </>"
<>Apex Systems</>,<>chq27g5xmzv03djgcx4</>,<>http://www.careerbuilder.com/jobs/company/chq27g5xmzv03djgcx4/apex-systems?sc_cmp1=13_JobRes_ComDet</>,<>JHQ0KB74G1LJ4PNW3BD</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>We are seeking a .Net Developer / Software Developer for Atlanta ...  Our ideal .Net Developer / Software Developer will have: ... .... .... Working...</>,</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ0KB74G1LJ4PNW3BD</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ0KB74G1LJ4PNW3BD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Norcross</>,<>33.94263</>,<>-84.21131</>,<>7/14/2014 2:18:53 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ0KB74G1LJ4PNW3BD</>,<>.Net Developer / Software Developer</>,<>CanBulkApply</>,</>
"<>Mb Staffing Services, LLC</>",<>c8c86l6cdhyz820qyck</>,<>http://www.careerbuilder.com/jobs/company/c8c86l6cdhyz820qyck/mb-staffing-services-llc?sc_cmp1=13_JobRes_ComDet</>,<>JHM81P63GCD6389G7D7</>,<>11-9151.00</>,<>Social and Community Service Managers</>,<>Community Developer - Program Developer - Program Manager Community Developer II This is a ...  Community Developer - Program Developer - Program...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM81P63GCD6389G7D7</>,<>https://api.careerbuilder.com/v1/job?DID=JHM81P63GCD6389G7D7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>DC - Washington</>,<>38.9102</>,<>-77.0179</>,<>7/23/2014 8:17:45 PM</>,<>$42k - $48k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM81P63GCD6389G7D7</>,<>Community Developer - Program Developer - Program Manager</>,<>HasAOReview</>,</>
<>Beacon Health Strategies</>,<>chm3cx6xh8rrt72ssdx</>,<>http://www.careerbuilder.com/jobs/company/chm3cx6xh8rrt72ssdx/beacon-health-strategies?sc_cmp1=13_JobRes_ComDet</>,<>JHQ4WW62R17W8QDVMTY</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<>EDI Production Developer / Analyst Job Description: The Enterprise Data Integration (EDI ...  EDI Production Developer / Analyst Requirements: The...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ4WW62R17W8QDVMTY</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ4WW62R17W8QDVMTY&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Boston</>,<>42.35863</>,<>-71.0567</>,<>7/16/2014 3:50:40 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ4WW62R17W8QDVMTY</>,<>EDI Production Developer / Analyst</>,<>IsExternal</>,"<>
        <Skill>qa</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>sql</Skill>
        <Skill>data integration</Skill>
        <Skill>database design</Skill>
      </>"
<>HireNetworks</>,<>c8b61z67mwrqs4r88nj</>,<>http://www.careerbuilder.com/jobs/company/c8b61z67mwrqs4r88nj/hirenetworks?sc_cmp1=13_JobRes_ComDet</>,<>JB71L36R4J252DCMM6N</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>Application Developer - Java As an Application Developer, you work on a distributed Java ...  Experience of the Application Developer: At least 3...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71L36R4J252DCMM6N</>,<>https://api.careerbuilder.com/v1/job?DID=JB71L36R4J252DCMM6N&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Cary</>,<>35.78933</>,<>-78.78117</>,<>6/29/2014 1:06:56 AM</>,<>$70k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71L36R4J252DCMM6N</>,<>Application Developer</>,<>CanBulkApply</>,"<>
        <Skill>xml</Skill>
        <Skill>java database connectivity</Skill>
        <Skill>message passing</Skill>
        <Skill>software development</Skill>
        <Skill>microsoft word</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>Linux</Skill>
        <Skill>sdlc</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>cryptographic protocol</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>apache maven</Skill>
        <Skill>integration testing</Skill>
        <Skill>json</Skill>
        <Skill>unix</Skill>
        <Skill>unit testing</Skill>
      </>"
<>HireNetworks</>,<>c8b61z67mwrqs4r88nj</>,<>http://www.careerbuilder.com/jobs/company/c8b61z67mwrqs4r88nj/hirenetworks?sc_cmp1=13_JobRes_ComDet</>,<>JHN4BC70FJYF2D683D5</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>Software Developer The Software Developer role is a contract-to-hire opportunity with one of ...  Requirements of the Software Developer:...</>,</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN4BC70FJYF2D683D5</>,<>https://api.careerbuilder.com/v1/job?DID=JHN4BC70FJYF2D683D5&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Raleigh</>,<>35.78551</>,<>-78.64267</>,<>7/13/2014 1:01:19 AM</>,<>$28.00 - $36.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN4BC70FJYF2D683D5</>,<>Software Developer</>,<>HasScreener</>,"<>
        <Skill>representational state transfer</Skill>
        <Skill>html</Skill>
        <Skill>c-sharp</Skill>
        <Skill>javascript</Skill>
        <Skill>message passing</Skill>
        <Skill>microsoft word</Skill>
        <Skill>eclipse</Skill>
        <Skill>radio-frequency identification</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>Blue (queue management algorithm)</Skill>
      </>"
<>Digital Staffing</>,<>chm4tq6pyb1lzgfsh88</>,<>http://www.careerbuilder.com/jobs/company/chm4tq6pyb1lzgfsh88/digital-staffing?sc_cmp1=13_JobRes_ComDet</>,<>JHM84H75776FW4Z5DNG</>,<>15-1099.04</>,<>Web Developers</>,<>PHP Developer A rapidly growing company has a need for a PHP Developer. Company offers free ...  PHP Developer PHP Developer Requirements: Thorough...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM84H75776FW4Z5DNG</>,<>https://api.careerbuilder.com/v1/job?DID=JHM84H75776FW4Z5DNG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88415</>,<>-87.63241</>,<>7/21/2014 4:45:29 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM84H75776FW4Z5DNG</>,<>PHP Developer LAMP WAMP MySQL Work with Cutting Edge Technology</>,<>HasAOReview</>,"<>
        <Skill>mysql</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>soap</Skill>
        <Skill>x window system</Skill>
        <Skill>systems architecture</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>LAMP</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>daytime protocol</Skill>
        <Skill>ajax</Skill>
        <Skill>php</Skill>
      </>"
<>Peter Glenn Ski and Sports</>,</>,</>,<>JB759L6R6W9NTZMH6P4</>,<>15-1099.04</>,<>Web Developers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB759L6R6W9NTZMH6P4</>,<>https://api.careerbuilder.com/v1/job?DID=JB759L6R6W9NTZMH6P4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>FL - Relocate to Fort Lauderdale, FL</>",<>28.53823</>,<>-81.37739</>,<>7/22/2014 12:08:48 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB759L6R6W9NTZMH6P4</>,<>PHP / Drupal Developer (eCommerce)Web Developer - PHP - Drupal Developer - eCommerce</>,<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>mysql</Skill>
        <Skill>html</Skill>
        <Skill>javascript</Skill>
        <Skill>LAMP</Skill>
        <Skill>jquery</Skill>
        <Skill>Linux</Skill>
        <Skill>perl</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>drupal</Skill>
        <Skill>php</Skill>
        <Skill>xhtml</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Peter Glenn Ski and Sports</>,</>,</>,<>JB73N66LV6GVTGZ64X5</>,<>15-1099.04</>,<>Web Developers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73N66LV6GVTGZ64X5</>,<>https://api.careerbuilder.com/v1/job?DID=JB73N66LV6GVTGZ64X5&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>FL - Relocate to Fort Lauderdale, FL</>",<>25.72898</>,<>-80.23742</>,<>7/22/2014 12:08:19 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73N66LV6GVTGZ64X5</>,<>PHP / Drupal Developer - eCommerceWeb Developer - PHP - Drupal Developer - eCommerce</>,<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>mysql</Skill>
        <Skill>html</Skill>
        <Skill>javascript</Skill>
        <Skill>LAMP</Skill>
        <Skill>jquery</Skill>
        <Skill>Linux</Skill>
        <Skill>perl</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>drupal</Skill>
        <Skill>php</Skill>
        <Skill>xhtml</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
