Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Swanson Industries</>,</>,</>,<>JHL7SL6SCHMHH2X93NN</>,<>17-2112.00</>,<>Industrial Engineers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL7SL6SCHMHH2X93NN</>,<>https://api.careerbuilder.com/v1/job?DID=JHL7SL6SCHMHH2X93NN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>US-Nationwide</>,<>0.0</>,<>0.0</>,<>7/3/2014 2:24:33 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL7SL6SCHMHH2X93NN</>,"<>Industrial Manufacturing Positions: Project Manager, Operations Engineer &amp; Manufacturing Engineers</>",<>HasAOReview</>,"<>
        <Skill>Hydraulics</Skill>
        <Skill>Heavy equipment (construction)</Skill>
        <Skill>Existential quantification</Skill>
        <Skill>Discrete manufacturing</Skill>
        <Skill>Project management</Skill>
        <Skill>Six Sigma</Skill>
        <Skill>Lean manufacturing</Skill>
        <Skill>SolidWorks</Skill>
      </>"
<>ESPO Engineering Corp</>,<>chn4kk70dj1n28z99p2</>,<>http://www.careerbuilder.com/jobs/company/chn4kk70dj1n28z99p2/espo-engineering-corp?sc_cmp1=13_JobRes_ComDet</>,<>JHQ7115Y07J6VNSLK54</>,<>17-2141.00</>,<>Mechanical Engineers</>,<>Tooling Engineer / Manufacturing Engineer (job# 14-15560) Duration: Temp to Perm hire Location ...  Tooling Engineer / Manufacturing Engineer (job# 14...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ7115Y07J6VNSLK54</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ7115Y07J6VNSLK54&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Schaumburg</>,<>42.052</>,<>-88.0513</>,<>7/16/2014 8:32:06 AM</>,<>$70k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ7115Y07J6VNSLK54</>,<>Tooling Engineer / Manufacturing Enginer</>,<>IsExternal</>,"<>
        <Skill>Finite element method</Skill>
        <Skill>Computer-aided design</Skill>
        <Skill>Metalworking</Skill>
        <Skill>Engineering tolerance</Skill>
        <Skill>Cost-effectiveness analysis</Skill>
        <Skill>Microsoft Word</Skill>
        <Skill>Mathematical model</Skill>
        <Skill>Mathematics</Skill>
        <Skill>Product design</Skill>
      </>"
<>ESPO Engineering Corp</>,<>chn4kk70dj1n28z99p2</>,<>http://www.careerbuilder.com/jobs/company/chn4kk70dj1n28z99p2/espo-engineering-corp?sc_cmp1=13_JobRes_ComDet</>,<>JHL1646MXXBZSKRPXSQ</>,<>17-2112.00</>,<>Industrial Engineers</>,"<>Manufacturing Process Engineer - Plant Project Engineer Location: Alsip, IL Duration ...  Manufacturing Process Engineer - Plant Project Engineer...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL1646MXXBZSKRPXSQ</>,<>https://api.careerbuilder.com/v1/job?DID=JHL1646MXXBZSKRPXSQ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Alsip</>,<>41.66916</>,<>-87.73214</>,<>7/24/2014 4:11:52 PM</>,<>$75k - $80k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL1646MXXBZSKRPXSQ</>,<>Manufacturing Process Engineer - Plant  Project Engineer</>,<>HasScreener</>,"<>
        <Skill>Hydraulics</Skill>
        <Skill>Pneumatics</Skill>
        <Skill>Microsoft Word</Skill>
        <Skill>Chemical engineering</Skill>
      </>"
<>REHAU</>,</>,</>,<>JHM4LX6WJW39325P7VK</>,<>17-2112.00</>,<>Industrial Engineers</>,<>About Us - Supplier Quality Engineer - Quality Engineer: REHAU is the premium worldwide brand ...  Requirements - Supplier Quality Engineer - Quality...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM4LX6WJW39325P7VK</>,<>https://api.careerbuilder.com/v1/job?DID=JHM4LX6WJW39325P7VK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>AL - Cullman</>,<>34.13215</>,<>-86.84375</>,<>7/21/2014 12:02:34 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM4LX6WJW39325P7VK</>,<>SUPPLIER QUALITY ENGINEER - QUALITY ENGINEER</>,<>HasScreener</>,"<>
        <Skill>Injection molding</Skill>
        <Skill>Quality management</Skill>
        <Skill>Project management</Skill>
        <Skill>Advanced Product Quality Planning</Skill>
        <Skill>Six Sigma</Skill>
      </>"
"<>Jordan &amp; Skala Engineers, Inc</>",</>,</>,<>JB759Y6VGFC5BQ2B33J</>,<>17-2141.00</>,<>Mechanical Engineers</>,"<>Job is located in Dallas, TX. As an experienced Mechanical Design Engineer when you list your ...  Mechanical Engineer / Design Engineer /...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB759Y6VGFC5BQ2B33J</>,<>https://api.careerbuilder.com/v1/job?DID=JB759Y6VGFC5BQ2B33J&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>TX - Relocate to Dallas, TX</>",<>29.76045</>,<>-95.36978</>,<>7/14/2014 1:34:28 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB759Y6VGFC5BQ2B33J</>,<>Mechanical Design Engineer (Construction)</>,<>CanBulkApply</>,"<>
        <Skill>Plumbing</Skill>
        <Skill>Computer-aided design</Skill>
        <Skill>Mechanical engineering</Skill>
        <Skill>AutoCAD</Skill>
        <Skill>Construction engineering</Skill>
        <Skill>Existential quantification</Skill>
        <Skill>Systems design</Skill>
        <Skill>HVAC</Skill>
        <Skill>Microsoft Excel</Skill>
        <Skill>Structural engineering</Skill>
        <Skill>Microsoft Office</Skill>
        <Skill>Mixed-use development</Skill>
      </>"
<>FPC of Naples</>,<>chv64q6640662rk71yq</>,<>http://www.careerbuilder.com/jobs/company/chv64q6640662rk71yq/fpc-of-naples?sc_cmp1=13_JobRes_ComDet</>,<>JHN4F476GQFMV0BRRTB</>,<>17-2112.00</>,<>Industrial Engineers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN4F476GQFMV0BRRTB</>,<>https://api.careerbuilder.com/v1/job?DID=JHN4F476GQFMV0BRRTB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>AL - MI - Relocation provided to Suburbs of Detroit, MI</>",<>32.2255</>,<>-86.297</>,<>7/3/2014 3:48:53 PM</>,<>$75k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN4F476GQFMV0BRRTB</>,"<>QUALITY ENGINEER - QA, QC, AUTOMOTIVE - Korean Language</>",<>HasScreener</>,"<>
        <Skill>Quality assurance</Skill>
        <Skill>Failure analysis</Skill>
        <Skill>ISO/TS 16949</Skill>
        <Skill>Quality management</Skill>
        <Skill>ISO 9000</Skill>
        <Skill>ASQ</Skill>
        <Skill>Advanced Product Quality Planning</Skill>
        <Skill>Process improvement</Skill>
      </>"
<>FPC of Naples</>,<>chv64q6640662rk71yq</>,<>http://www.careerbuilder.com/jobs/company/chv64q6640662rk71yq/fpc-of-naples?sc_cmp1=13_JobRes_ComDet</>,<>JHV4CC6JQGL7TBY695P</>,<>17-2112.00</>,<>Industrial Engineers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV4CC6JQGL7TBY695P</>,<>https://api.careerbuilder.com/v1/job?DID=JHV4CC6JQGL7TBY695P&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>GA - Relocation to Suburbs, Near Detroit, Michigan</>",<>33.74831</>,<>-84.39111</>,<>7/3/2014 3:45:46 PM</>,<>$75k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV4CC6JQGL7TBY695P</>,"<>QUALITY ENGINEER - QA, QC, AUTOMOTIVE - Korean Language</>",<>HasAOReview</>,"<>
        <Skill>Quality assurance</Skill>
        <Skill>Failure analysis</Skill>
        <Skill>ISO/TS 16949</Skill>
        <Skill>Quality management</Skill>
        <Skill>ISO 9000</Skill>
        <Skill>ASQ</Skill>
        <Skill>Advanced Product Quality Planning</Skill>
        <Skill>Process improvement</Skill>
      </>"
<>FPC of Naples</>,<>chv64q6640662rk71yq</>,<>http://www.careerbuilder.com/jobs/company/chv64q6640662rk71yq/fpc-of-naples?sc_cmp1=13_JobRes_ComDet</>,<>JHQ4RC6NNZ63X3TL1VV</>,<>17-2112.00</>,<>Industrial Engineers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ4RC6NNZ63X3TL1VV</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ4RC6NNZ63X3TL1VV&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MI - Detroit - Metro - Suburbs</>,<>42.3465</>,<>-83.0598</>,<>7/3/2014 3:35:29 PM</>,<>$75k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ4RC6NNZ63X3TL1VV</>,"<>QUALITY ENGINEER - QA, QC, AUTOMOTIVE - Korean Language</>",<>CanBulkApply</>,"<>
        <Skill>Quality assurance</Skill>
        <Skill>Failure analysis</Skill>
        <Skill>ISO/TS 16949</Skill>
        <Skill>Quality management</Skill>
        <Skill>ISO 9000</Skill>
        <Skill>ASQ</Skill>
        <Skill>Advanced Product Quality Planning</Skill>
        <Skill>Process improvement</Skill>
      </>"
<>FPC of Naples</>,<>chv64q6640662rk71yq</>,<>http://www.careerbuilder.com/jobs/company/chv64q6640662rk71yq/fpc-of-naples?sc_cmp1=13_JobRes_ComDet</>,<>JHR3C174ZNDVC3XNHGF</>,<>17-2141.00</>,<>Mechanical Engineers</>,<>Senior Systems Engineer HVAC - Air Conditioning Systems Automotive HVAC and Mobile AC Systems ...  Senior Systems Engineer HVAC - Air Conditioning...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR3C174ZNDVC3XNHGF</>,<>https://api.careerbuilder.com/v1/job?DID=JHR3C174ZNDVC3XNHGF&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WA - WI- Global European Automotive Company - Relocation to Wisconsin</>,<>47.4639</>,<>-122.2488</>,<>7/3/2014 3:29:35 PM</>,<>$100k - $115k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR3C174ZNDVC3XNHGF</>,<>Sr. Application Engineer - Automotive HVAC</>,<>CanBulkApply</>,"<>
        <Skill>Program management</Skill>
        <Skill>Systems engineering</Skill>
        <Skill>Product engineering</Skill>
        <Skill>HVAC</Skill>
        <Skill>DFMEA</Skill>
        <Skill>Engineering management</Skill>
        <Skill>Product design</Skill>
        <Skill>New product development</Skill>
      </>"
<>AOC</>,</>,</>,<>JHT3NX6FCY4Y5WFF807</>,<>17-2112.00</>,<>Industrial Engineers</>,"<>Plant Engineer AOC, a leading manufacturer of polyester resins in North America, is recruiting ...   keywords: plant engineer manufacturer polyester...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT3NX6FCY4Y5WFF807</>,<>https://api.careerbuilder.com/v1/job?DID=JHT3NX6FCY4Y5WFF807&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Lakeland</>,<>28.149</>,<>-82.0373</>,<>7/11/2014 9:29:24 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT3NX6FCY4Y5WFF807</>,<>Plant Engineer</>,<>CanBulkApply</>,"<>
        <Skill>Preventive maintenance</Skill>
        <Skill>Mechanical engineering</Skill>
        <Skill>Process safety</Skill>
        <Skill>Process Safety Management</Skill>
      </>"
