Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Claddagh Resources</>,<>c8e7fg749xp8xtcw6wv</>,<>http://www.careerbuilder.com/jobs/company/c8e7fg749xp8xtcw6wv/claddagh-resources?sc_cmp1=13_JobRes_ComDet</>,<>JB73VN60MPL8Z5JM5SG</>,<>15-1099.04</>,<>Web Developers</>,"<>Job is located in Cupertino, CA. Job Title UI Expert (javascript/ HTML/ CSS ) Location ...   implementing complex UI-rich applications using...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73VN60MPL8Z5JM5SG</>,<>https://api.careerbuilder.com/v1/job?DID=JB73VN60MPL8Z5JM5SG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>CA - Relocate to Cupertino, CA</>",<>37.77712</>,<>-122.41964</>,<>7/6/2014 1:12:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73VN60MPL8Z5JM5SG</>,<>UI Expert (javascript/ HTML/ CSS )</>,<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>internet backbone</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>ibm software</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>oracle weblogic server</Skill>
        <Skill>User Interface design</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>apache struts</Skill>
        <Skill>mvc</Skill>
        <Skill>workflow</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>java servlet</Skill>
        <Skill>unit testing</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Claddagh Resources</>,<>c8e7fg749xp8xtcw6wv</>,<>http://www.careerbuilder.com/jobs/company/c8e7fg749xp8xtcw6wv/claddagh-resources?sc_cmp1=13_JobRes_ComDet</>,<>JHN31C6FZ81ZYMR6KMB</>,<>15-1099.04</>,<>Web Developers</>,"<>Job Title UI Expert (javascript/ HTML/ CSS ) Location Cupertino, CA RGS # 3376399 Job Type ...   implementing complex UI-rich applications using...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN31C6FZ81ZYMR6KMB</>,<>https://api.careerbuilder.com/v1/job?DID=JHN31C6FZ81ZYMR6KMB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Cupertino</>,<>37.305</>,<>-122.0946</>,<>7/6/2014 1:12:03 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN31C6FZ81ZYMR6KMB</>,<>UI Expert (javascript/ HTML/ CSS )</>,<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>internet backbone</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>ibm software</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>oracle weblogic server</Skill>
        <Skill>User Interface design</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>apache struts</Skill>
        <Skill>mvc</Skill>
        <Skill>workflow</Skill>
        <Skill>ajax</Skill>
        <Skill>json</Skill>
        <Skill>java servlet</Skill>
        <Skill>unit testing</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Creative Circle</>,<>c8a2zq627blkmtkg7sy</>,<>http://www.careerbuilder.com/jobs/company/c8a2zq627blkmtkg7sy/creative-circle?sc_cmp1=13_JobRes_ComDet</>,<>JHV6YC64872RZRPCYPX</>,<>15-1099.04</>,<>Web Developers</>,<>Our client is looking for a talented HTML/ CSS Developer to join their team. Responsibilities ...  - Must have 2+ years of web development including...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV6YC64872RZRPCYPX</>,<>https://api.careerbuilder.com/v1/job?DID=JHV6YC64872RZRPCYPX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Houston</>,<>29.7347</>,<>-95.4155</>,<>7/1/2014 5:13:53 PM</>,<>$20.00 - $25.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV6YC64872RZRPCYPX</>,<>HTML/CSS Developer</>,<>CanBulkApply</>,"<>
        <Skill>web development</Skill>
        <Skill>html</Skill>
        <Skill>xml</Skill>
        <Skill>LAMP</Skill>
        <Skill>adobe creative suite</Skill>
        <Skill>php</Skill>
      </>"
<>IT Associates</>,<>c8b2k26b87ch8shq5g0</>,<>http://www.careerbuilder.com/jobs/company/c8b2k26b87ch8shq5g0/it-associates?sc_cmp1=13_JobRes_ComDet</>,<>JHQ2ZQ66BG8ZQS83L19</>,<>15-1099.04</>,<>Web Developers</>,</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ2ZQ66BG8ZQS83L19</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ2ZQ66BG8ZQS83L19&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TN - Nashville</>,<>36.1083</>,<>-86.6676</>,<>7/23/2014 11:05:58 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ2ZQ66BG8ZQS83L19</>,<>Entry level - HTML developer ( content specialist )</>,<>CanBulkApply</>,"<>
        <Skill>quality assurance</Skill>
        <Skill>html</Skill>
        <Skill>ibm software</Skill>
        <Skill>macromedia homesite</Skill>
        <Skill>file transfer protocol</Skill>
        <Skill>adobe dreamweaver</Skill>
        <Skill>adobe photoshop</Skill>
        <Skill>windows live messenger</Skill>
        <Skill>sms</Skill>
      </>"
<>Kforce Technology</>,<>chn42x5vt1w3t20jrly</>,<>http://www.careerbuilder.com/jobs/company/chn42x5vt1w3t20jrly/kforce-technology?sc_cmp1=13_JobRes_ComDet</>,<>JHN0WY5XTCFM85FVSKC</>,<>15-1099.04</>,<>Web Developers</>,"<>, HTML 5 and JQuery. This application will be used by retail sales reps across the US pull up customer ...  Skills Needed: HTML CSS jQuery ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN0WY5XTCFM85FVSKC</>,<>https://api.careerbuilder.com/v1/job?DID=JHN0WY5XTCFM85FVSKC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WA - Seattle</>,<>47.76137</>,<>-122.20562</>,<>7/24/2014 1:13:57 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN0WY5XTCFM85FVSKC</>,<>UI developer (HTML/CSS/jQuery)</>,<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>jquery</Skill>
        <Skill>User Interface design</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Visionaire Partners</>,<>chq2zv70wt1b3g3f5df</>,<>http://www.careerbuilder.com/jobs/company/chq2zv70wt1b3g3f5df/visionaire-partners?sc_cmp1=13_JobRes_ComDet</>,<>JHP2SV6GMF8SJST4Y6S</>,<>15-1099.04</>,<>Web Developers</>,"<>UX Designer - Agile - HTML5, CSS/LESS Are you a strong UX Designer looking to work in a fast ...  UX Design / Architecture - 5-7 years Agile Scrum - 1...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP2SV6GMF8SJST4Y6S</>,<>https://api.careerbuilder.com/v1/job?DID=JHP2SV6GMF8SJST4Y6S&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Alpharetta</>,<>34.07537</>,<>-84.29455</>,<>7/2/2014 4:54:00 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP2SV6GMF8SJST4Y6S</>,"<>UX Designer - Agile - HTML5, CSS/LESS</>",<>HasAOReview</>,"<>
        <Skill>html5</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>User Experience</Skill>
        <Skill>scrum (development)</Skill>
      </>"
</>,</>,</>,<>JHP1P379095KPKF4W12</>,<>15-1099.04</>,<>Web Developers</>,"<> &amp; HTML5. Linux exposure would be preferred. ...  -end website code (HTML, CSS, Javascript) Work with a team of senior web developers to build ... </>",</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP1P379095KPKF4W12</>,<>https://api.careerbuilder.com/v1/job?DID=JHP1P379095KPKF4W12&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Atlanta</>,<>33.7529</>,<>-84.3933</>,<>6/26/2014 3:43:45 PM</>,<>$20.00 - $22.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP1P379095KPKF4W12</>,<>Junior PHP/HTML5 Developer</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>javascript</Skill>
        <Skill>Linux</Skill>
        <Skill>php</Skill>
      </>"
"<>Harmer Consultants, Inc.</>",<>chv2346fvcb37hpypy4</>,<>http://www.careerbuilder.com/jobs/company/chv2346fvcb37hpypy4/harmer-consultants-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHV2XB5Y98M77WMDD3H</>,<>15-1099.04</>,<>Web Developers</>,"<> &amp; jQuery Expert knowledge of HTML5 and CSS3 Familiarity with SVG, HTML5 Canvas Experience using version ... </>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV2XB5Y98M77WMDD3H</>,<>https://api.careerbuilder.com/v1/job?DID=JHV2XB5Y98M77WMDD3H&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88415</>,<>-87.63241</>,<>7/9/2014 4:05:26 PM</>,<>$40.00 - $70.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV2XB5Y98M77WMDD3H</>,"<>Front End Developer - JavaScript, jQuery, CSS, HTML</>",<>CanBulkApply</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>agile software development</Skill>
        <Skill>java platform, enterprise edition</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>document object model</Skill>
        <Skill>IL (network protocol)</Skill>
        <Skill>mvc</Skill>
        <Skill>web design</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>ajax</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Digital Staffing</>,<>chm4tq6pyb1lzgfsh88</>,<>http://www.careerbuilder.com/jobs/company/chm4tq6pyb1lzgfsh88/digital-staffing?sc_cmp1=13_JobRes_ComDet</>,<>JHN3RK5YLD890CB37VN</>,<>15-1099.04</>,<>Web Developers</>,"<> equivalent experience 1-3 years previous work experience Knowledge of HTML, JavaScript, web servers, SQL, XML ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN3RK5YLD890CB37VN</>,<>https://api.careerbuilder.com/v1/job?DID=JHN3RK5YLD890CB37VN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Crystal Lake</>,<>42.24521</>,<>-88.32398</>,<>7/18/2014 12:50:29 PM</>,<>$0 - $80k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN3RK5YLD890CB37VN</>,"<>Software Developer HTML JavaScript Web Servers Stable, Privately-Held Company to $80K</>",<>CanBulkApply</>,"<>
        <Skill>html</Skill>
        <Skill>c-sharp</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>visual basic</Skill>
        <Skill>ibm software</Skill>
        <Skill>daytime protocol</Skill>
        <Skill>microsoft office</Skill>
        <Skill>MAPICS</Skill>
        <Skill>sql</Skill>
      </>"
<>Navient</>,<>chv7fb76s9g2cw8g8df</>,<>http://www.careerbuilder.com/jobs/company/chv7fb76s9g2cw8g8df/navient?sc_cmp1=13_JobRes_ComDet</>,<>JHN1JP6BWVVV309HRQD</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<>* Minimum 2-3 years of systems programming experience with a good working knowledge of HTML 5 ... </>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN1JP6BWVVV309HRQD</>,<>https://api.careerbuilder.com/v1/job?DID=JHN1JP6BWVVV309HRQD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>DE - Newark</>,<>39.6702</>,<>-75.7117</>,<>7/21/2014 8:33:04 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN1JP6BWVVV309HRQD</>,<>HTML 5 Developer</>,<>IsExternal</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>javascript</Skill>
        <Skill>ibm software</Skill>
        <Skill>jquery</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>Customer relationship management</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
