Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
"<>Myers Media Group, Enterprise SEO and Web Services</>",</>,</>,<>JHN3Y4757K9TQN0TNV6</>,<>15-1099.04</>,<>Web Developers</>,"<>Seeking: Web Developer: PHP/MySQL, JavaScript, CSS, Wordpress Don't miss your chance to join a ...   back-end from client provided data Development...</>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN3Y4757K9TQN0TNV6</>,<>https://api.careerbuilder.com/v1/job?DID=JHN3Y4757K9TQN0TNV6&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - San Diego</>,<>32.77693</>,<>-117.13874</>,<>7/3/2014 8:03:10 PM</>,<>$55.00 - $75.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN3Y4757K9TQN0TNV6</>,"<>Web Programmer / Developer: PHP/MySQL, JavaScript, CSS, Wordpress VIRTUAL/REMOTE</>",<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>mysql</Skill>
        <Skill>qa</Skill>
        <Skill>web development</Skill>
        <Skill>html5</Skill>
        <Skill>web service</Skill>
        <Skill>html</Skill>
        <Skill>database</Skill>
        <Skill>reverse proxy</Skill>
        <Skill>javascript</Skill>
        <Skill>bash</Skill>
        <Skill>User Interface design</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>User Interface</Skill>
        <Skill>google analytics</Skill>
        <Skill>apache tomcat</Skill>
        <Skill>apache subversion</Skill>
        <Skill>perl</Skill>
        <Skill>Chrome</Skill>
        <Skill>web design</Skill>
        <Skill>sql</Skill>
        <Skill>wordpress</Skill>
        <Skill>search engine optimization</Skill>
        <Skill>amazon elastic compute cloud</Skill>
        <Skill>DNS</Skill>
        <Skill>application programming interface</Skill>
        <Skill>php</Skill>
        <Skill>http secure</Skill>
        <Skill>search engine marketing</Skill>
      </>"
</>,</>,</>,<>JHP5686H73HW9ZFB70F</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<> Business Administration. We are seeking an Application Developer who has experience with PHP, MySQL, and ...   plus. Strict minimum Windows OS...</>",</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP5686H73HW9ZFB70F</>,<>https://api.careerbuilder.com/v1/job?DID=JHP5686H73HW9ZFB70F&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>UT - Provo</>,<>40.23376</>,<>-111.66851</>,<>7/22/2014 7:42:47 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP5686H73HW9ZFB70F</>,<>PHP/ MySQL Developer</>,<>CanBulkApply</>,"<>
        <Skill>apache http server</Skill>
        <Skill>amazon web services</Skill>
        <Skill>mysql</Skill>
        <Skill>web service</Skill>
        <Skill>Android</Skill>
        <Skill>software development</Skill>
        <Skill>scala (programming language)</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>ios</Skill>
        <Skill>php</Skill>
      </>"
<>Vaco Technology</>,<>c8d27g6395wtv77dm20</>,<>http://www.careerbuilder.com/jobs/company/c8d27g6395wtv77dm20/vaco-technology?sc_cmp1=13_JobRes_ComDet</>,<>J3G7T872MCFR8Q5XYPP</>,<>15-1061.00</>,<>Database Administrators</>,"<> database. They will initially perform, and longer term provide oversight for all MySQL database ...   database. They will initially perform, and...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3G7T872MCFR8Q5XYPP</>,<>https://api.careerbuilder.com/v1/job?DID=J3G7T872MCFR8Q5XYPP&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Orlando</>,<>28.53823</>,<>-81.37739</>,<>7/18/2014 11:18:47 AM</>,<>$70k - $80k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3G7T872MCFR8Q5XYPP</>,<>MySQL DBA</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>software development</Skill>
        <Skill>mongodb</Skill>
        <Skill>perl</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>computer security</Skill>
        <Skill>red hat</Skill>
        <Skill>database design</Skill>
      </>"
<>Insight Global</>,<>c8e6t06v3gjjb1kc1mx</>,<>http://www.careerbuilder.com/jobs/company/c8e6t06v3gjjb1kc1mx/insight-global?sc_cmp1=13_JobRes_ComDet</>,<>J3H16R5XFQTCX86ZGYP</>,<>15-1061.00</>,<>Database Administrators</>,<>We are looking for experienced MySQL database administrators interested in supporting the next ...  2 years (recently) of production MySQL...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3H16R5XFQTCX86ZGYP</>,<>https://api.careerbuilder.com/v1/job?DID=J3H16R5XFQTCX86ZGYP&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Oakland</>,<>37.8087</>,<>-122.2989</>,<>7/9/2014 11:36:34 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3H16R5XFQTCX86ZGYP</>,<>MySQL DBA</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>innodb</Skill>
        <Skill>database administrator</Skill>
        <Skill>database</Skill>
        <Skill>bash</Skill>
        <Skill>change management</Skill>
        <Skill>nosql</Skill>
        <Skill>Linux</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
      </>"
</>,</>,</>,<>JHS2F56C8YTYQPF75BC</>,<>15-1099.04</>,<>Web Developers</>,"<> and an object oriented PHP MVC Framework (CodeIgniter, Zend, Symphony, Cake, etc.) 4+ years with MySQL ... </>",</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS2F56C8YTYQPF75BC</>,<>https://api.careerbuilder.com/v1/job?DID=JHS2F56C8YTYQPF75BC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Norcross</>,<>33.909</>,<>-84.1771</>,<>7/23/2014 11:38:33 AM</>,<>$80k - $90k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS2F56C8YTYQPF75BC</>,<>PHP Developer / MySQL / JavaScript</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>mvc</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>ping (video gaming)</Skill>
        <Skill>php</Skill>
      </>"
<>Digital Staffing</>,<>chm4tq6pyb1lzgfsh88</>,<>http://www.careerbuilder.com/jobs/company/chm4tq6pyb1lzgfsh88/digital-staffing?sc_cmp1=13_JobRes_ComDet</>,<>JHM84H75776FW4Z5DNG</>,<>15-1099.04</>,<>Web Developers</>,<> development experience Extensive experience/knowledge of object-oriented PHP 5.x development Proficient MySQL ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM84H75776FW4Z5DNG</>,<>https://api.careerbuilder.com/v1/job?DID=JHM84H75776FW4Z5DNG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88415</>,<>-87.63241</>,<>7/21/2014 4:45:29 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM84H75776FW4Z5DNG</>,<>PHP Developer LAMP WAMP MySQL Work with Cutting Edge Technology</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>soap</Skill>
        <Skill>x window system</Skill>
        <Skill>systems architecture</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>LAMP</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>daytime protocol</Skill>
        <Skill>ajax</Skill>
        <Skill>php</Skill>
      </>"
<>Robert Half Technology</>,<>cht3vg6lk6nkvvrxlrm</>,<>http://www.careerbuilder.com/jobs/company/cht3vg6lk6nkvvrxlrm/robert-half-technology?sc_cmp1=13_JobRes_ComDet</>,<>J3F84W6101HW4B4Z45X</>,<>15-1061.00</>,<>Database Administrators</>,"<>,000.00 per year Growing Advertising firm seeking a DBA with MySQL, Oracle and MSSQL experience. As a ...  Intermediate MySQL, Advanced Oracle, MSSQL...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3F84W6101HW4B4Z45X</>,<>https://api.careerbuilder.com/v1/job?DID=J3F84W6101HW4B4Z45X&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Sherman Oaks</>,<>34.146</>,<>-118.4632</>,<>7/23/2014 8:22:41 PM</>,<>$130k - $150k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3F84W6101HW4B4Z45X</>,"<>DBA with MySQL, Oracle and MSSQL</>",<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>web development</Skill>
        <Skill>quality assurance</Skill>
        <Skill>database administrator</Skill>
        <Skill>ETL</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>couchdb</Skill>
        <Skill>profiling (computer programming)</Skill>
        <Skill>extract, transform, load</Skill>
        <Skill>nosql</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>load testing</Skill>
        <Skill>sql</Skill>
        <Skill>system integration</Skill>
        <Skill>computer security</Skill>
        <Skill>database design</Skill>
      </>"
<>Webroot</>,</>,</>,<>J3F4HZ6CN5YRJ2NNFG2</>,<>15-1061.00</>,<>Database Administrators</>,<>Sr DBA (SQL Server/MySQL/Oracle) for the Web Security Market Leader! Are you a skilled ...   MySQL 5.x servers. Key to these duties will be your...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3F4HZ6CN5YRJ2NNFG2</>,<>https://api.careerbuilder.com/v1/job?DID=J3F4HZ6CN5YRJ2NNFG2&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CO - Broomfield</>,<>39.8912</>,<>-105.1205</>,<>6/30/2014 2:22:43 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3F4HZ6CN5YRJ2NNFG2</>,<>Sr DBA (SQL Server/MySQL/Oracle) - Web Security Market Leader!</>,<>IsExternal</>,"<>
        <Skill>mysql</Skill>
        <Skill>database administrator</Skill>
        <Skill>x window system</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>microsoft sharepoint</Skill>
        <Skill>software development</Skill>
        <Skill>stored procedure</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>vmware</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>pl/sql</Skill>
        <Skill>sql</Skill>
        <Skill>oracle applications</Skill>
        <Skill>computer security</Skill>
        <Skill>database design</Skill>
      </>"
<>JDC Group</>,<>chq55x6vc1mhs629z24</>,<>http://www.careerbuilder.com/jobs/company/chq55x6vc1mhs629z24/jdc-group?sc_cmp1=13_JobRes_ComDet</>,<>JHL6C16PJML9XBB9R67</>,<>15-1061.00</>,<>Database Administrators</>,"<> energetic, motivated, and experienced Senior MySQL DBA. RESPONSIBILITIES: Providing daily (24*7) operational ...  SKILLS/EXPERIENCE: Clear...</>",</>,<>Contractor</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL6C16PJML9XBB9R67</>,<>https://api.careerbuilder.com/v1/job?DID=JHL6C16PJML9XBB9R67&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Atlanta</>,<>33.8817</>,<>-84.3745</>,<>6/30/2014 11:44:17 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL6C16PJML9XBB9R67</>,<>Sr. MySQL DBA</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>database</Skill>
        <Skill>netbackup</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>Webrecruit US</>,<>chm02y70p7479mf40p8</>,<>http://www.careerbuilder.com/jobs/company/chm02y70p7479mf40p8/webrecruit-us?sc_cmp1=13_JobRes_ComDet</>,<>JHV7WY61Q3DRHTMYQGT</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV7WY61Q3DRHTMYQGT</>,<>https://api.careerbuilder.com/v1/job?DID=JHV7WY61Q3DRHTMYQGT&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Waltham</>,<>42.3973</>,<>-71.25937</>,<>6/26/2014 12:30:11 PM</>,<>$120k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV7WY61Q3DRHTMYQGT</>,<>IsExternal</>,"<>
        <Skill>mysql</Skill>
        <Skill>apache solr</Skill>
        <Skill>database</Skill>
        <Skill>nosql</Skill>
        <Skill>Linux</Skill>
        <Skill>Pivotal</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>software design</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>dbase</Skill>
        <Skill>php</Skill>
        <Skill>unix</Skill>
        <Skill>scrum (development)</Skill>
      </>"
