Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>GeauxSource</>,<>cht5nk65wrg7y9r2yg6</>,<>http://www.careerbuilder.com/jobs/company/cht5nk65wrg7y9r2yg6/geauxsource?sc_cmp1=13_JobRes_ComDet</>,<>JHR434722WVRVMKTPYL</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>Network Engineer People love working for our client. We have placed several people both ...  , engineering, or a related field or equivalent work...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR434722WVRVMKTPYL</>,<>https://api.careerbuilder.com/v1/job?DID=JHR434722WVRVMKTPYL&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Downtown Houston</>,<>29.76045</>,<>-95.36978</>,<>7/15/2014 5:11:13 PM</>,<>$85k - $95k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR434722WVRVMKTPYL</>,<>Network Engineer</>,<>HasAOReview</>,"<>
        <Skill>microsoft exchange server</Skill>
        <Skill>citrix systems</Skill>
        <Skill>systems architecture</Skill>
        <Skill>wan optimization</Skill>
        <Skill>network administrator</Skill>
        <Skill>cisco systems</Skill>
        <Skill>software development</Skill>
        <Skill>dynamic multipoint virtual private network</Skill>
        <Skill>local area network</Skill>
        <Skill>microsoft word</Skill>
        <Skill>routing protocol</Skill>
        <Skill>systems management</Skill>
        <Skill>change management</Skill>
        <Skill>wireless lan</Skill>
        <Skill>cryptographic protocol</Skill>
        <Skill>voice over ip</Skill>
        <Skill>cisco unified communications manager</Skill>
        <Skill>routing</Skill>
        <Skill>computer security</Skill>
        <Skill>business telephone system</Skill>
      </>"
<>Harris Corporation</>,<>chn1fw71lzzj10c6v5c</>,<>http://www.careerbuilder.com/jobs/company/chn1fw71lzzj10c6v5c/harris-corporation?sc_cmp1=13_JobRes_ComDet</>,<>JHN78F69TTCYSD42RTX</>,<>15-1081.00</>,<>Network Systems and Data Communications Analysts</>,"<>, requirements definition, scope validation, and scheduling of work for staff IP network engineers. Conducts ...  BA/BS degree in Networking,...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN78F69TTCYSD42RTX</>,<>https://api.careerbuilder.com/v1/job?DID=JHN78F69TTCYSD42RTX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Melbourne</>,<>28.0775</>,<>-80.6292</>,<>7/24/2014 2:04:51 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN78F69TTCYSD42RTX</>,<>Network Planning Engineer - Lead Project Engineer (IP)</>,<>HasAOReview</>,"<>
        <Skill>enhanced interior gateway routing protocol</Skill>
        <Skill>Peering</Skill>
        <Skill>cisco systems</Skill>
        <Skill>multiprotocol label switching</Skill>
        <Skill>cloud computing</Skill>
        <Skill>hot standby router protocol</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>open shortest path first</Skill>
        <Skill>computer security</Skill>
        <Skill>configuration management</Skill>
        <Skill>border gateway protocol</Skill>
      </>"
<>VisionIT</>,<>cht0946p3rmzkzv6j44</>,<>http://www.careerbuilder.com/jobs/company/cht0946p3rmzkzv6j44/visionit?sc_cmp1=13_JobRes_ComDet</>,<>J3J7Q965ND0BZKGQT7R</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3J7Q965ND0BZKGQT7R</>,<>https://api.careerbuilder.com/v1/job?DID=J3J7Q965ND0BZKGQT7R&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MI - Troy</>,<>42.606</>,<>-83.15</>,<>7/22/2014 1:30:20 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3J7Q965ND0BZKGQT7R</>,<>Network Engineer</>,<>HasAOReview</>,"<>
        <Skill>max</Skill>
        <Skill>network administrator</Skill>
        <Skill>software development</Skill>
        <Skill>active directory</Skill>
        <Skill>vmware</Skill>
        <Skill>service-oriented architecture</Skill>
        <Skill>virtual private network</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>Merchant Link</>,</>,</>,<>JHL704667NHCF8DPW01</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL704667NHCF8DPW01</>,<>https://api.careerbuilder.com/v1/job?DID=JHL704667NHCF8DPW01&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Silver Spring</>,<>39.0015</>,<>-77.0357</>,<>7/14/2014 4:13:26 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL704667NHCF8DPW01</>,<>Network Support Engineer III</>,<>CanBulkApply</>,"<>
        <Skill>gateway (telecommunications)</Skill>
        <Skill>enhanced interior gateway routing protocol</Skill>
        <Skill>simple network management protocol</Skill>
        <Skill>ibm tivoli framework#netcool</Skill>
        <Skill>firewall (computing)</Skill>
        <Skill>TRILL (computing)</Skill>
        <Skill>cisco systems</Skill>
        <Skill>multiprotocol label switching</Skill>
        <Skill>ipsec</Skill>
        <Skill>local area network</Skill>
        <Skill>osi model</Skill>
        <Skill>routing protocol</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>ssl</Skill>
        <Skill>vmware</Skill>
        <Skill>server message block</Skill>
        <Skill>virtual private network</Skill>
        <Skill>open shortest path first</Skill>
        <Skill>load balancing</Skill>
        <Skill>data link layer</Skill>
        <Skill>routing</Skill>
        <Skill>DNS</Skill>
        <Skill>computer security</Skill>
        <Skill>border gateway protocol</Skill>
        <Skill>hp openview</Skill>
      </>"
"<>EDTS, LLC</>",</>,</>,<>JHV7K76THHHQW8J66JS</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,<>EDTS is looking for Network Field Engineers. Apply today and become part of one of the fastest ...  Job Description: As an EDTS Network Field Engineer...</>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV7K76THHHQW8J66JS</>,<>https://api.careerbuilder.com/v1/job?DID=JHV7K76THHHQW8J66JS&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Augusta</>,<>33.4341</>,<>-81.956</>,<>7/8/2014 6:33:19 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV7K76THHHQW8J66JS</>,<>Network Field Engineer</>,<>CanBulkApply</>,"<>
        <Skill>microsoft exchange server</Skill>
        <Skill>citrix systems</Skill>
        <Skill>desktop virtualization</Skill>
        <Skill>backup exec</Skill>
        <Skill>firewall (computing)</Skill>
        <Skill>microsoft sharepoint</Skill>
        <Skill>ibm software</Skill>
        <Skill>cisco systems</Skill>
        <Skill>windows server</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>hyper-v</Skill>
        <Skill>windows xp</Skill>
        <Skill>vmware</Skill>
        <Skill>windows server 2008</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>virtual private network</Skill>
        <Skill>sql</Skill>
        <Skill>computer security</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>The DAKO Group</>,<>c25h86njtm3dhwcq5s</>,<>http://www.careerbuilder.com/jobs/company/c25h86njtm3dhwcq5s/the-dako-group?sc_cmp1=13_JobRes_ComDet</>,<>JHM7DJ6DRFPKJ95QX74</>,<>15-1041.00</>,<>Computer Support Specialists</>,<> - Network Support on a direct hire basis. This is an afternoon shift position 3:00pm - Midnight . IT ...   email to KStanley @ Dakogroup.com and...</>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM7DJ6DRFPKJ95QX74</>,<>https://api.careerbuilder.com/v1/job?DID=JHM7DJ6DRFPKJ95QX74&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MI - Utica</>,<>42.673</>,<>-82.9952</>,<>7/23/2014 10:27:46 AM</>,<>$50k - $60k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM7DJ6DRFPKJ95QX74</>,<>IT - Network Support / 2nd Shift 3:00pm - Midnight</>,<>CanBulkApply</>,"<>
        <Skill>firewall (computing)</Skill>
        <Skill>message passing</Skill>
        <Skill>microsoft word</Skill>
        <Skill>fax</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>virtual private network</Skill>
        <Skill>routing</Skill>
        <Skill>DNS</Skill>
      </>"
<>GTN Technical Staffing</>,</>,</>,<>JHM1ZS6HRFN83PQ701X</>,<>15-1081.00</>,<>Network Systems and Data Communications Analysts</>,<>IMMEDIATE HIRE for an experienced Senior Network Engineer to lead and enable the goals and ...   gathering and documenting existing client network and...</>,</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM1ZS6HRFN83PQ701X</>,<>https://api.careerbuilder.com/v1/job?DID=JHM1ZS6HRFN83PQ701X&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - REMOTE WORK</>,<>32.77815</>,<>-96.7954</>,<>7/2/2014 11:32:21 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM1ZS6HRFN83PQ701X</>,<>Team Lead Network Engineer</>,<>CanBulkApply</>,"<>
        <Skill>multicast</Skill>
        <Skill>simple network management protocol</Skill>
        <Skill>dynamic host configuration protocol</Skill>
        <Skill>firewall (computing)</Skill>
        <Skill>network administrator</Skill>
        <Skill>cisco systems</Skill>
        <Skill>multiprotocol label switching</Skill>
        <Skill>ipsec</Skill>
        <Skill>cloud computing</Skill>
        <Skill>local area network</Skill>
        <Skill>microsoft project</Skill>
        <Skill>microsoft office</Skill>
        <Skill>radius</Skill>
        <Skill>ssl</Skill>
        <Skill>iptv</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>virtual private network</Skill>
        <Skill>open shortest path first</Skill>
        <Skill>load balancing</Skill>
        <Skill>routing</Skill>
        <Skill>internet group management protocol</Skill>
        <Skill>cisco hardware</Skill>
        <Skill>ipv6</Skill>
        <Skill>DNS</Skill>
        <Skill>multiservice switch</Skill>
        <Skill>computer security</Skill>
        <Skill>ip multicast</Skill>
        <Skill>border gateway protocol</Skill>
      </>"
<>Decisive Data Systems</>,</>,</>,<>JHP0BG6T415CJV0HVJD</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,"<>IT Network Engineer Decisive Data Systems , DDS , is a full service computer technology firm ...  IT Network Engineer Successful candidates must meet...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP0BG6T415CJV0HVJD</>,<>https://api.careerbuilder.com/v1/job?DID=JHP0BG6T415CJV0HVJD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Baltimore</>,<>39.471</>,<>-76.296</>,<>7/14/2014 3:40:30 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP0BG6T415CJV0HVJD</>,<>Network Engineer</>,<>CanBulkApply</>,"<>
        <Skill>microsoft exchange server</Skill>
        <Skill>dynamic host configuration protocol</Skill>
        <Skill>network administrator</Skill>
        <Skill>local area network</Skill>
        <Skill>northern virginia</Skill>
        <Skill>windows 7</Skill>
        <Skill>windows server</Skill>
        <Skill>hyper-v</Skill>
        <Skill>active directory</Skill>
        <Skill>vmware</Skill>
        <Skill>windows server 2008</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>virtual private network</Skill>
        <Skill>DNS</Skill>
      </>"
<>ITG</>,</>,</>,<>JHT1V35VHR8J6X61T2B</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Contractor</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT1V35VHR8J6X61T2B</>,<>https://api.careerbuilder.com/v1/job?DID=JHT1V35VHR8J6X61T2B&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MO - Kansas City</>,<>38.8989</>,<>-94.7055</>,<>7/14/2014 1:09:58 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT1V35VHR8J6X61T2B</>,<>IP Network Engineer</>,<>HasAOReview</>,"<>
        <Skill>network administrator</Skill>
        <Skill>cloud computing</Skill>
        <Skill>local area network</Skill>
        <Skill>workflow</Skill>
        <Skill>internet protocol suite</Skill>
        <Skill>load balancing</Skill>
        <Skill>computer security</Skill>
        <Skill>configuration management</Skill>
      </>"
<>Henry Schein Medical System</>,<>c8f78h60drcrpg1h854</>,<>http://www.careerbuilder.com/jobs/company/c8f78h60drcrpg1h854/henry-schein-medical-system?sc_cmp1=13_JobRes_ComDet</>,<>JHV08Q6YW8281S0ZFQS</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV08Q6YW8281S0ZFQS</>,<>https://api.careerbuilder.com/v1/job?DID=JHV08Q6YW8281S0ZFQS&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Youngstown</>,<>41.02548</>,<>-80.68429</>,<>7/25/2014 8:47:52 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV08Q6YW8281S0ZFQS</>,<>Network and IS Security Administrator</>,<>HasAOReview</>,"<>
        <Skill>microsoft exchange server</Skill>
        <Skill>citrix systems</Skill>
        <Skill>microsoft dynamics crm</Skill>
        <Skill>database</Skill>
        <Skill>client-server model</Skill>
        <Skill>microsoft sharepoint</Skill>
        <Skill>windows server</Skill>
        <Skill>microsoft project</Skill>
        <Skill>asp.net</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>file transfer protocol</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>active directory</Skill>
        <Skill>private network</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>virtual private network</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visio</Skill>
        <Skill>computer security</Skill>
        <Skill>Customer relationship management</Skill>
      </>"
