Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>WMS Gaming</>,<>c842jp6h42nbf2cz8l6</>,<>http://www.careerbuilder.com/jobs/company/c842jp6h42nbf2cz8l6/wms-gaming?sc_cmp1=13_JobRes_ComDet</>,<>J3F0XG6JDWYCQN8KJPN</>,<>15-1061.00</>,<>Database Administrators</>,<> objects. Essential Job Functions: Design BI application technical solutions based on business requirements ...   Experience: 5+ years of experience...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3F0XG6JDWYCQN8KJPN</>,<>https://api.careerbuilder.com/v1/job?DID=J3F0XG6JDWYCQN8KJPN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>GA - Alpharetta</>,<>34.07537</>,<>-84.29455</>,<>7/2/2014 10:38:21 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3F0XG6JDWYCQN8KJPN</>,<>Database Architect</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>ETL</Skill>
        <Skill>database</Skill>
        <Skill>Business Intelligence</Skill>
        <Skill>data warehouse</Skill>
        <Skill>stored procedure</Skill>
        <Skill>microsoft analysis services</Skill>
        <Skill>Cognos</Skill>
        <Skill>microsoft office performancepoint server</Skill>
        <Skill>microsoft office</Skill>
        <Skill>crystal reports</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>sql</Skill>
        <Skill>Hyperion</Skill>
        <Skill>computer security</Skill>
        <Skill>data modeling</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB74FC6FLTTT7S3KLPM</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB74FC6FLTTT7S3KLPM</>,<>https://api.careerbuilder.com/v1/job?DID=JB74FC6FLTTT7S3KLPM&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>DC - Washington</>,<>38.89037</>,<>-77.03196</>,<>6/26/2014 1:03:39 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB74FC6FLTTT7S3KLPM</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB781Q71SZ8ZT65WRRZ</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB781Q71SZ8ZT65WRRZ</>,<>https://api.careerbuilder.com/v1/job?DID=JB781Q71SZ8ZT65WRRZ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Austin</>,<>30.2676</>,<>-97.74298</>,<>6/26/2014 1:03:39 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB781Q71SZ8ZT65WRRZ</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB707Z5X7Q2TKZB6ZQ7</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB707Z5X7Q2TKZB6ZQ7</>,<>https://api.careerbuilder.com/v1/job?DID=JB707Z5X7Q2TKZB6ZQ7&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - West Palm Beach</>,<>26.71438</>,<>-80.05269</>,<>6/26/2014 1:03:39 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB707Z5X7Q2TKZB6ZQ7</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB76Z06K7SX6V2CKFF6</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB76Z06K7SX6V2CKFF6</>,<>https://api.careerbuilder.com/v1/job?DID=JB76Z06K7SX6V2CKFF6&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>PA - Pittsburgh</>,<>40.43833</>,<>-79.99746</>,<>6/26/2014 1:03:39 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB76Z06K7SX6V2CKFF6</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB765P62S0D507H78P4</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB765P62S0D507H78P4</>,<>https://api.careerbuilder.com/v1/job?DID=JB765P62S0D507H78P4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Sacramento</>,<>38.57906</>,<>-121.49101</>,<>6/26/2014 1:03:38 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB765P62S0D507H78P4</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB71G46DBFRBQQ87SBR</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71G46DBFRBQQ87SBR</>,<>https://api.careerbuilder.com/v1/job?DID=JB71G46DBFRBQQ87SBR&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Cincinatti</>,<>39.10661</>,<>-84.50455</>,<>6/26/2014 1:03:38 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71G46DBFRBQQ87SBR</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB70KM6H6FWNHVHHH1C</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB70KM6H6FWNHVHHH1C</>,<>https://api.careerbuilder.com/v1/job?DID=JB70KM6H6FWNHVHHH1C&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>KY - Louisville</>,<>38.25486</>,<>-85.7664</>,<>6/26/2014 1:03:38 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB70KM6H6FWNHVHHH1C</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB73B066S6NBJDQ076B</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73B066S6NBJDQ076B</>,<>https://api.careerbuilder.com/v1/job?DID=JB73B066S6NBJDQ076B&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Columbus</>,<>39.96196</>,<>-83.00298</>,<>6/26/2014 1:03:38 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73B066S6NBJDQ076B</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
<>IBM - Watson</>,</>,</>,<>JB71MW746P1W9CP0N19</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<> and design of the live integrated system prototypes. This position requires significant leadership ... </>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71MW746P1W9CP0N19</>,<>https://api.careerbuilder.com/v1/job?DID=JB71MW746P1W9CP0N19&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Hartford</>,<>41.76332</>,<>-72.67407</>,<>6/26/2014 1:03:37 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71MW746P1W9CP0N19</>,<>Technical Lead - Emerging Technologies</>,<>IsExternal</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>software development</Skill>
        <Skill>requirements analysis</Skill>
        <Skill>machine learning</Skill>
      </>"
