Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Corrigo Consulting LLC</>,</>,</>,<>JHQ6MR5VKZ43949SGYK</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<>. Create custom control software configurations, programming and databases according to project ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ6MR5VKZ43949SGYK</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ6MR5VKZ43949SGYK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WA - Seattle</>,<>47.60356</>,<>-122.32944</>,<>7/4/2014 2:43:27 PM</>,<>$80k - $110k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ6MR5VKZ43949SGYK</>,"<>Lead Controls Engineer - Tridium Integration, Programming, Project Management - Major Projects</>",<>CanBulkApply</>,"<>
        <Skill>autocad</Skill>
        <Skill>x window system</Skill>
        <Skill>database</Skill>
        <Skill>User Interface</Skill>
        <Skill>software design</Skill>
        <Skill>system integration</Skill>
        <Skill>computer-aided design</Skill>
      </>"
"<>Design Automation Associates, Inc.</>",</>,</>,<>JHR4096YZ27G1HM3ZB4</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<> authoring Some computer programming experience and/or a willingness to learn Periodic travel required in ... </>,</>,<>Full-Time</>,<>Master's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR4096YZ27G1HM3ZB4</>,<>https://api.careerbuilder.com/v1/job?DID=JHR4096YZ27G1HM3ZB4&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Suffield</>,<>41.9892</>,<>-72.6521</>,<>7/10/2014 2:41:58 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR4096YZ27G1HM3ZB4</>,<>Mechanical Engineer with Programming Experience</>,<>HasAOReview</>,"<>
        <Skill>solidworks</Skill>
        <Skill>nx</Skill>
        <Skill>Nastran</Skill>
        <Skill>fax</Skill>
        <Skill>computer-aided design</Skill>
        <Skill>application programming interface</Skill>
      </>"
"<>Cook Systems International, Inc.</>",<>c8c07c6yq129yq8zftq</>,<>http://www.careerbuilder.com/jobs/company/c8c07c6yq129yq8zftq/cook-systems-international-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHV0K171YMBM5ZJFFDL</>,<>15-1021.00</>,<>Computer Programmers</>,"<>, taken some college courses, or have self-taught yourself programming skills and enjoy working with ...   proficiency in Java or Other Object...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV0K171YMBM5ZJFFDL</>,<>https://api.careerbuilder.com/v1/job?DID=JHV0K171YMBM5ZJFFDL&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>TX - Dallas</>,<>32.77815</>,<>-96.7954</>,<>7/25/2014 12:08:23 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV0K171YMBM5ZJFFDL</>,<>Computer Programming Training</>,<>HasScreener</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>c-sharp</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>oracle weblogic server</Skill>
        <Skill>eclipse</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>c++</Skill>
        <Skill>unix</Skill>
      </>"
<>Benchmark Senior Living</>,<>c8h29z71hbds1tnvlcb</>,<>http://www.careerbuilder.com/jobs/company/c8h29z71hbds1tnvlcb/benchmark-senior-living?sc_cmp1=13_JobRes_ComDet</>,<>JHR66869VDHQWSVXFQN</>,<>27-2012.03</>,<>Program Directors</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR66869VDHQWSVXFQN</>,<>https://api.careerbuilder.com/v1/job?DID=JHR66869VDHQWSVXFQN&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Wellesley</>,<>42.3157</>,<>-71.265</>,<>7/23/2014 3:02:40 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR66869VDHQWSVXFQN</>,<>Regional Director of Programming and Engagement</>,<>HasAOReview</>,</>
<>Benchmark Senior Living</>,<>c8h29z71hbds1tnvlcb</>,<>http://www.careerbuilder.com/jobs/company/c8h29z71hbds1tnvlcb/benchmark-senior-living?sc_cmp1=13_JobRes_ComDet</>,<>JHR33B735TK5NKQ4V23</>,<>21-1093.00</>,<>Social and Human Service Assistants</>,<> directly to the Programming Director. PURPOSE TheProgram Assistant organizes and implements programs ...   for ProgrammingAssistants who will be...</>,</>,<>Full-Time/Part-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR33B735TK5NKQ4V23</>,<>https://api.careerbuilder.com/v1/job?DID=JHR33B735TK5NKQ4V23&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MA - Danvers</>,<>42.5739</>,<>-70.9505</>,<>7/23/2014 9:20:14 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR33B735TK5NKQ4V23</>,<>Programming Assistant / Activity Assistant / Van Driver at Assisted Living</>,<>CanBulkApply</>,</>
<>Ventura County Credit Union</>,</>,</>,<>JHN8325VVKJG1N4P0XW</>,<>15-1051.00</>,<>Computer Systems Analysts</>,"<>. Keeps team current on programming languages, methodologies and industry development. Responsible to ...   related programming experience. Preferred...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN8325VVKJG1N4P0XW</>,<>https://api.careerbuilder.com/v1/job?DID=JHN8325VVKJG1N4P0XW&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Ventura</>,<>34.2816</>,<>-119.2234</>,<>7/15/2014 12:42:52 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN8325VVKJG1N4P0XW</>,<>Programming Supervisor</>,<>CanBulkApply</>,"<>
        <Skill>quality assurance</Skill>
        <Skill>html</Skill>
        <Skill>xml</Skill>
        <Skill>systems design</Skill>
        <Skill>javascript</Skill>
        <Skill>operator yapo</Skill>
        <Skill>Android</Skill>
        <Skill>software development</Skill>
        <Skill>sql</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>ios</Skill>
        <Skill>c++</Skill>
      </>"
"<>Equinox Holdings, Inc.</>",<>cht6z766xhkphzcf3c3</>,<>http://www.careerbuilder.com/jobs/company/cht6z766xhkphzcf3c3/equinox-holdings-inc?sc_cmp1=13_JobRes_ComDet</>,<>J3G05R6CK2BNNCS4TP8</>,<>11-2021.00</>,<>Marketing Managers</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3G05R6CK2BNNCS4TP8</>,<>https://api.careerbuilder.com/v1/job?DID=J3G05R6CK2BNNCS4TP8&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NY - New York</>,<>40.71455</>,<>-74.00712</>,<>7/10/2014 8:28:46 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3G05R6CK2BNNCS4TP8</>,<>Manager of National Barre Programming</>,<>IsExternal</>,"<>
        <Skill>Compensation &amp; Benefits</Skill>
        <Skill>Problem solving</Skill>
        <Skill>Marketing</Skill>
      </>"
<>Ockham</>,<>chv46r7896kdfjtnfr4</>,<>http://www.careerbuilder.com/jobs/company/chv46r7896kdfjtnfr4/ockham?sc_cmp1=13_JobRes_ComDet</>,<>JHL6N76DXT13HD53JQ5</>,<>15-1099.11</>,<>Information Technology Project Managers</>,"<> experience with Primary and QC programming to create tables, listings and graphs, manipulate datasets ...  7-10 years of SAS Programming in a Pharma...</>",</>,<>Contractor</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL6N76DXT13HD53JQ5</>,<>https://api.careerbuilder.com/v1/job?DID=JHL6N76DXT13HD53JQ5&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NC - Raleigh Durham</>,<>35.78551</>,<>-78.64267</>,<>7/21/2014 1:01:50 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL6N76DXT13HD53JQ5</>,<>Statistical Programming Manager</>,<>IsExternal</>,"<>
        <Skill>SAS</Skill>
      </>"
<>Robert Half Technology</>,<>cht3vg6lk6nkvvrxlrm</>,<>http://www.careerbuilder.com/jobs/company/cht3vg6lk6nkvvrxlrm/robert-half-technology?sc_cmp1=13_JobRes_ComDet</>,<>J3H1Y76VFLL37XD5KJG</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>","<> team current on programming languages, methodologies and industry development. Responsible to manage ...  QUALIFICATIONS: - 3 + Years of Software...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3H1Y76VFLL37XD5KJG</>,<>https://api.careerbuilder.com/v1/job?DID=J3H1Y76VFLL37XD5KJG&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Ventura</>,<>34.2816</>,<>-119.2234</>,<>7/24/2014 11:19:12 PM</>,<>$75k - $85k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3H1Y76VFLL37XD5KJG</>,<>Full-Time IT Programming Supervisor</>,<>CanBulkApply</>,"<>
        <Skill>web development</Skill>
        <Skill>html</Skill>
        <Skill>c-sharp</Skill>
        <Skill>xml</Skill>
        <Skill>javascript</Skill>
        <Skill>Android</Skill>
        <Skill>software development</Skill>
        <Skill>java (programming language)</Skill>
        <Skill>sql</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>system integration</Skill>
        <Skill>computer security</Skill>
        <Skill>ios</Skill>
        <Skill>c++</Skill>
      </>"
<>DIRECTV</>,<>chq01m6t518l16pwnr2</>,<>http://www.careerbuilder.com/jobs/company/chq01m6t518l16pwnr2/directv?sc_cmp1=13_JobRes_ComDet</>,<>J3G40N71TYQD6SC4CJC</>,<>15-1099.11</>,<>Information Technology Project Managers</>,"<> working knowledge of programming and traffic systems and processes and a focus on fostering an environment ...  , experience and attributes include:...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3G40N71TYQD6SC4CJC</>,<>https://api.careerbuilder.com/v1/job?DID=J3G40N71TYQD6SC4CJC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - Los Angeles</>,<>34.05349</>,<>-118.24532</>,<>7/5/2014 4:15:41 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3G40N71TYQD6SC4CJC</>,"<>Manager, Programming and Traffic Operations - Latin America</>",<>CanBulkApply</>,"<>
        <Skill>microsoft office</Skill>
      </>"
