Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>J3B7LH6NY7J90Z1DP50</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer with Securitas, you will many times be the first person that people ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3B7LH6NY7J90Z1DP50</>,<>https://api.careerbuilder.com/v1/job?DID=J3B7LH6NY7J90Z1DP50&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>AZ - Phoenix</>,<>33.44826</>,<>-112.07577</>,<>7/4/2014 1:07:15 AM</>,<>$9.00 - $11.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3B7LH6NY7J90Z1DP50</>,<>Security Officer</>,<>RequireUserInfo</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB75FR6M5WDMV26DNN3</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB75FR6M5WDMV26DNN3</>,<>https://api.careerbuilder.com/v1/job?DID=JB75FR6M5WDMV26DNN3&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Kent</>,<>41.15093</>,<>-81.35822</>,<>7/22/2014 8:09:04 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB75FR6M5WDMV26DNN3</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB76MR75Y54LL125XTX</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB76MR75Y54LL125XTX</>,<>https://api.careerbuilder.com/v1/job?DID=JB76MR75Y54LL125XTX&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Brecksville</>,<>41.31733</>,<>-81.62686</>,<>7/22/2014 8:09:03 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB76MR75Y54LL125XTX</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB75MS6L9KF9S5Y2BXB</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB75MS6L9KF9S5Y2BXB</>,<>https://api.careerbuilder.com/v1/job?DID=JB75MS6L9KF9S5Y2BXB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - North Canton</>,<>40.87555</>,<>-81.40206</>,<>7/22/2014 8:09:03 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB75MS6L9KF9S5Y2BXB</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB74T06R88FSBPQN5RC</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB74T06R88FSBPQN5RC</>,<>https://api.careerbuilder.com/v1/job?DID=JB74T06R88FSBPQN5RC&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Cuyahoga Falls</>,<>41.13841</>,<>-81.48372</>,<>7/22/2014 8:09:03 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB74T06R88FSBPQN5RC</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB712Y638MT449Y319H</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB712Y638MT449Y319H</>,<>https://api.careerbuilder.com/v1/job?DID=JB712Y638MT449Y319H&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Akron</>,<>41.08419</>,<>-81.51406</>,<>7/22/2014 8:09:02 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB712Y638MT449Y319H</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB72776WZ6C2SKZ60CK</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB72776WZ6C2SKZ60CK</>,<>https://api.careerbuilder.com/v1/job?DID=JB72776WZ6C2SKZ60CK&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Canton</>,<>40.79781</>,<>-81.37157</>,<>7/22/2014 8:09:02 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB72776WZ6C2SKZ60CK</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB712B6WZ1N092FC838</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB712B6WZ1N092FC838</>,<>https://api.careerbuilder.com/v1/job?DID=JB712B6WZ1N092FC838&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Twinsburg</>,<>41.31313</>,<>-81.44025</>,<>7/22/2014 8:09:01 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB712B6WZ1N092FC838</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB789B6KVXX787XSHBY</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB789B6KVXX787XSHBY</>,<>https://api.careerbuilder.com/v1/job?DID=JB789B6KVXX787XSHBY&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Macedonia</>,<>41.314</>,<>-81.509</>,<>7/22/2014 8:09:01 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB789B6KVXX787XSHBY</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB74DW6QJXZL917TKSB</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB74DW6QJXZL917TKSB</>,<>https://api.careerbuilder.com/v1/job?DID=JB74DW6QJXZL917TKSB&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Warren</>,<>41.238</>,<>-80.819</>,<>7/22/2014 8:09:00 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB74DW6QJXZL917TKSB</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB72H66FJ6K33GXC40V</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB72H66FJ6K33GXC40V</>,<>https://api.careerbuilder.com/v1/job?DID=JB72H66FJ6K33GXC40V&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Wickliffe</>,<>41.59694</>,<>-81.47851</>,<>7/22/2014 8:09:00 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB72H66FJ6K33GXC40V</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB77P36J5PN4LBYG7HV</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB77P36J5PN4LBYG7HV</>,<>https://api.careerbuilder.com/v1/job?DID=JB77P36J5PN4LBYG7HV&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Middlefield</>,<>41.46343</>,<>-81.07319</>,<>7/22/2014 8:09:01 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB77P36J5PN4LBYG7HV</>,<>Security Officer</>,<>IsExternal</>,</>
<>Securitas USA</>,<>chn4ml6xd9dw60bqvb1</>,<>http://www.careerbuilder.com/jobs/company/chn4ml6xd9dw60bqvb1/securitas-usa?sc_cmp1=13_JobRes_ComDet</>,<>JB783F6NQPCX1NWSXS0</>,<>33-9032.00</>,<>Security Guards</>,"<>As a Security Officer, you will observe and report activities and incidents at an assigned ...   requirements for Security Officers. Additional...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB783F6NQPCX1NWSXS0</>,<>https://api.careerbuilder.com/v1/job?DID=JB783F6NQPCX1NWSXS0&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Painesville</>,<>41.7242</>,<>-81.24524</>,<>7/22/2014 8:08:59 AM</>,<>$8.00 - $12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB783F6NQPCX1NWSXS0</>,<>Security Officer</>,<>IsExternal</>,</>
