Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
"<>Code 42 Software, Inc.</>",<>chm1rh77sm480b2kfxk</>,<>http://www.careerbuilder.com/jobs/company/chm1rh77sm480b2kfxk/code-42-software-inc?sc_cmp1=13_JobRes_ComDet</>,<>JHM3RT77TYWHGTQLNRR</>,<>15-1099.04</>,<>Web Developers</>,"<> endpoint backup and SharePlan file sync/share technology. The Web Team Manager is responsible for the ...   scale, high traffic marketing websites 2...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM3RT77TYWHGTQLNRR</>,<>https://api.careerbuilder.com/v1/job?DID=JHM3RT77TYWHGTQLNRR&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MN - Minneapolis</>,<>44.97903</>,<>-93.26493</>,<>7/11/2014 1:11:59 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM3RT77TYWHGTQLNRR</>,<>Web Team Manager</>,<>CanBulkApply</>,"<>
        <Skill>html5</Skill>
        <Skill>javascript</Skill>
        <Skill>jquery</Skill>
        <Skill>software development</Skill>
        <Skill>Social Network</Skill>
        <Skill>sass (stylesheet language)</Skill>
        <Skill>User Experience</Skill>
        <Skill>web design</Skill>
        <Skill>search engine optimization</Skill>
        <Skill>ajax</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
</>,</>,<>JHT3MM6V5F2DT4ZW9WH</>,<>15-1099.04</>,<>Web Developers</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT3MM6V5F2DT4ZW9WH</>,<>https://api.careerbuilder.com/v1/job?DID=JHT3MM6V5F2DT4ZW9WH&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>KS - Kansas City</>,<>38.98489</>,<>-94.67168</>,<>6/27/2014 3:35:16 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT3MM6V5F2DT4ZW9WH</>,<>Graphic Designer / Web Designer &amp; Project Manager</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>web development</Skill>
        <Skill>html5</Skill>
        <Skill>adobe illustrator</Skill>
        <Skill>microsoft word</Skill>
        <Skill>web design</Skill>
        <Skill>wordpress</Skill>
        <Skill>search engine optimization</Skill>
        <Skill>adobe photoshop</Skill>
        <Skill>php</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Wisconsin Web Offset</>,</>,</>,<>JHS7136RB513ZCJWFVW</>,<>51-5023.00</>,<>Printing Machine Operators</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS7136RB513ZCJWFVW</>,<>https://api.careerbuilder.com/v1/job?DID=JHS7136RB513ZCJWFVW&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>WI - Greater Milwaukee</>,<>43.0712</>,<>-88.152</>,<>7/18/2014 11:53:26 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS7136RB513ZCJWFVW</>,<>Printing Web Press Operators</>,<>CanBulkApply</>,</>
<>Kwikturn Media</>,</>,</>,<>JHR2VB6D7D1GN85TVLH</>,<>15-1099.04</>,<>Web Developers</>,"<>Kwikturn Media , a division of R&amp;L Carriers, is currently seeking a Web Designer for our Ocala ...  Proficiency in web design leveraging Adobe...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR2VB6D7D1GN85TVLH</>,<>https://api.careerbuilder.com/v1/job?DID=JHR2VB6D7D1GN85TVLH&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Ocala</>,<>29.1538</>,<>-82.1862</>,<>7/21/2014 4:22:46 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR2VB6D7D1GN85TVLH</>,<>Web Designer</>,<>CanBulkApply</>,"<>
        <Skill>html</Skill>
        <Skill>adobe illustrator</Skill>
        <Skill>User Experience</Skill>
        <Skill>web design</Skill>
        <Skill>wordpress</Skill>
        <Skill>electronic commerce</Skill>
        <Skill>adobe photoshop</Skill>
      </>"
"<>Cardiocom, A Medtronic </>",</>,</>,<>JHR04C6FRQ21XFLJFRZ</>,<>15-1099.04</>,<>Web Developers</>,"<>Cardiocom, Medtronic's leading telehealth company has an exciting opportunity as a Web ...  + years hands-on experience developing web services (WCF/...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHR04C6FRQ21XFLJFRZ</>,<>https://api.careerbuilder.com/v1/job?DID=JHR04C6FRQ21XFLJFRZ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MN - Chanhassen</>,<>44.8569</>,<>-93.5486</>,<>7/22/2014 10:06:17 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHR04C6FRQ21XFLJFRZ</>,<>Software Developer - Web Development</>,<>IsExternal</>,"<>
        <Skill>web development</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>adobe flex</Skill>
        <Skill>.net framework</Skill>
        <Skill>web service</Skill>
        <Skill>soap</Skill>
        <Skill>svn</Skill>
        <Skill>c-sharp</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>client-server model</Skill>
        <Skill>ado.net</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>asp.net</Skill>
        <Skill>apache subversion</Skill>
        <Skill>mvc</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>ajax</Skill>
      </>"
"<>Cardiocom, A Medtronic </>",</>,</>,<>JB760F6KFM46NBB1WFD</>,<>15-1099.04</>,<>Web Developers</>,"<>Cardiocom, Medtronic's leading telehealth company has an exciting opportunity as a Web ...  + years hands-on experience developing web services (WCF/...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB760F6KFM46NBB1WFD</>,<>https://api.careerbuilder.com/v1/job?DID=JB760F6KFM46NBB1WFD&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>KS - Kansas City</>,<>39.11338</>,<>-94.62682</>,<>7/22/2014 10:06:16 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB760F6KFM46NBB1WFD</>,<>Software Developer - Web Development</>,<>IsExternal</>,"<>
        <Skill>web development</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>adobe flex</Skill>
        <Skill>.net framework</Skill>
        <Skill>web service</Skill>
        <Skill>soap</Skill>
        <Skill>svn</Skill>
        <Skill>c-sharp</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>client-server model</Skill>
        <Skill>ado.net</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>asp.net</Skill>
        <Skill>apache subversion</Skill>
        <Skill>mvc</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>ajax</Skill>
      </>"
"<>Cardiocom, A Medtronic </>",</>,</>,<>JB71Y160BQYZ94J5B2W</>,<>15-1099.04</>,<>Web Developers</>,"<>Cardiocom, Medtronic's leading telehealth company has an exciting opportunity as a Web ...  + years hands-on experience developing web services (WCF/...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB71Y160BQYZ94J5B2W</>,<>https://api.careerbuilder.com/v1/job?DID=JB71Y160BQYZ94J5B2W&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MO - Kansas City</>,<>39.10295</>,<>-94.58306</>,<>7/22/2014 10:06:15 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB71Y160BQYZ94J5B2W</>,<>Software Developer - Web Development</>,<>IsExternal</>,"<>
        <Skill>web development</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>adobe flex</Skill>
        <Skill>.net framework</Skill>
        <Skill>web service</Skill>
        <Skill>soap</Skill>
        <Skill>svn</Skill>
        <Skill>c-sharp</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>client-server model</Skill>
        <Skill>ado.net</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>asp.net</Skill>
        <Skill>apache subversion</Skill>
        <Skill>mvc</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>ajax</Skill>
      </>"
"<>Cardiocom, A Medtronic </>",</>,</>,<>JB73GM6QMX7JMJFNJ7S</>,<>15-1099.04</>,<>Web Developers</>,"<>Cardiocom, Medtronic's leading telehealth company has an exciting opportunity as a Web ...  + years hands-on experience developing web services (WCF/...</>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73GM6QMX7JMJFNJ7S</>,<>https://api.careerbuilder.com/v1/job?DID=JB73GM6QMX7JMJFNJ7S&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>NE - Omaha</>,<>41.26069</>,<>-95.94059</>,<>7/22/2014 10:06:15 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73GM6QMX7JMJFNJ7S</>,<>Software Developer - Web Development</>,<>IsExternal</>,"<>
        <Skill>web development</Skill>
        <Skill>representational state transfer</Skill>
        <Skill>adobe flex</Skill>
        <Skill>.net framework</Skill>
        <Skill>web service</Skill>
        <Skill>soap</Skill>
        <Skill>svn</Skill>
        <Skill>c-sharp</Skill>
        <Skill>database</Skill>
        <Skill>agile software development</Skill>
        <Skill>client-server model</Skill>
        <Skill>ado.net</Skill>
        <Skill>jquery</Skill>
        <Skill>stored procedure</Skill>
        <Skill>asp.net</Skill>
        <Skill>apache subversion</Skill>
        <Skill>mvc</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>microsoft visual studio</Skill>
        <Skill>ajax</Skill>
      </>"
<>Stevens &amp; Tate</>,</>,</>,<>JHT7NP6KHG7FNYV8ZX5</>,<>15-1099.04</>,<>Web Developers</>,"<> destinations, delivering complex, interactive and database driven web experiences . ...   with the principles of Responsive Design techniques and...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT7NP6KHG7FNYV8ZX5</>,<>https://api.careerbuilder.com/v1/job?DID=JHT7NP6KHG7FNYV8ZX5&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Lombard</>,<>41.84931</>,<>-88.01192</>,<>7/21/2014 11:15:31 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT7NP6KHG7FNYV8ZX5</>,<>Web Designer / Programmer</>,<>HasScreener</>,"<>
        <Skill>html5</Skill>
        <Skill>html</Skill>
        <Skill>database</Skill>
        <Skill>adobe illustrator</Skill>
        <Skill>jquery</Skill>
        <Skill>adobe indesign</Skill>
        <Skill>hypertext transfer protocol</Skill>
        <Skill>IL (network protocol)</Skill>
        <Skill>Social Network</Skill>
        <Skill>adobe dreamweaver</Skill>
        <Skill>web design</Skill>
        <Skill>adobe photoshop</Skill>
        <Skill>php</Skill>
        <Skill>cascading style sheets</Skill>
      </>"
<>Digital Staffing</>,<>chm4tq6pyb1lzgfsh88</>,<>http://www.careerbuilder.com/jobs/company/chm4tq6pyb1lzgfsh88/digital-staffing?sc_cmp1=13_JobRes_ComDet</>,<>JHM4WW758K2VK7N05Y9</>,<>15-1099.04</>,<>Web Developers</>,<>Web Developer/Mobile Developer A rapidly growing company is in need of a Web/Mobile Developer ...  Web Developer/Mobile Developer Web Developer/Mobile...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM4WW758K2VK7N05Y9</>,<>https://api.careerbuilder.com/v1/job?DID=JHM4WW758K2VK7N05Y9&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Columbus</>,<>39.96196</>,<>-83.00298</>,<>7/10/2014 8:44:33 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM4WW758K2VK7N05Y9</>,<>Web Developer Mobile Developer Web Deployment MS SQL 2000 JavaScript Bonus Potential Incredible Benefit Package</>,<>HasAOReview</>,"<>
        <Skill>adobe flex</Skill>
        <Skill>web service</Skill>
        <Skill>html</Skill>
        <Skill>svn</Skill>
        <Skill>database</Skill>
        <Skill>windows server 2003</Skill>
        <Skill>mobile application development</Skill>
        <Skill>adobe flash</Skill>
        <Skill>javascript</Skill>
        <Skill>Android</Skill>
        <Skill>apache ant</Skill>
        <Skill>windows server</Skill>
        <Skill>daytime protocol</Skill>
        <Skill>eclipse</Skill>
        <Skill>microsoft sql server</Skill>
        <Skill>apache subversion</Skill>
        <Skill>coldfusion</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>sql</Skill>
        <Skill>ios</Skill>
      </>"
