title,location,type,description,company,how_to_apply
Python Web Application Developer,"Chicago, IL",Full Time,"<p><b>Spot Trading LLC </b> is a technology-driven proprietary trading firm based in Chicago’s financial district.  Founded in 1999, the firm has grown to be a leading liquidity provider and market-maker for the U.S. exchange-listed equity options markets.  Our unique culture deploys a highly integrated model, where traders, quantitative analysts, equity analysts and technologists work closely together to capitalize on pricing opportunities in the options, commodities and futures markets.  Spot has developed an innovative and scalable trading platform that promotes collaboration, manages firm-wide risk and uses proprietary technology to enable high performance and a trading edge.  We have been recognized as one of the “National Best and Brightest Companies to Work For”TM by the National Association for Business Resources for the past three years and in 2013 named one of Chicago’s Top Workplaces by the Chicago Tribune.</p>

<p><b>Summary </b></p>

<p>Do you want to join a team of developers who are trying to solve hard problems in the financial industry? We provide Spot with next-generation trading technology that enables traders, quants, research analysts and other developers to trade in the ultra-competitive high-frequency trading space.</p>

<p><b>What are some examples of things that we work on? </b></p>

<ul>
<li>We have developed near real-time reconciliation tools for trade comparisons</li>
<li>We are building systems to support 24-hour uptime</li>
<li>We are evolving our systems to become event-driven and becoming fully automated</li>
<li>We are building self-monitoring and reporting systems</li>
<li>We are developing a web platform to allow access to our low-latency backend systems from anywhere</li>
</ul>

<p><b>We are looking for someone with the following skillset:</b></p>

<ul>
<li>Server-side coding experience with a solid background in in data structures, algorithms, and object-oriented programming</li>
<li>Excellent knowledge of Python</li>
<li>Visual / UI design experience (Bootstrap and/or similar)</li>
<li>Excellent knowledge of JavaScript including AJAX, jQuery and CoffeeScript</li>
<li>Experience with MVC frameworks such as Knockout, AngularJS, or Backbone.js</li>
<li>Experience with writing unit tests (Mocha, Karmaa, Jasmine, qUnit, Funcunit or similar)</li>
<li>Experience with both RDBMS and NoSQL systems</li>
</ul>

<p><b>Things that would really peak our interest:</b></p>

<ul>
<li>A portfolio of work we can take a look at</li>
<li>Websockets: sockjs, socket.io, or similar</li>
<li>Experience with reverse proxy / DNS systems</li>
<li>Prior experience with distributed real-time search and analytics engines (i.e. ElasticSearch), </li>
<li>Prior experience with data-visualization tools (i.e. Kibana, Graphite)</li>
<li>Prior experience with authentication and security</li>
</ul>

<p><b>Benefits</b></p>

<p>Spot provides a wide variety of competitive programs designed to enhance the health and well-being of our employees and their families. Our benefits include: medical, dental, vision, 401k/Roth, pre-tax commuter and health benefits, complimentary breakfast and lunch, gym reimbursements, and regular social events, to name a few.</p>
",Spot Trading LLC,"<p>Apply directly at <a href=""http://www.spottradingllc.com/careers"">www.spottradingllc.com/careers</a></p>
"
Senior Software Engineer,"Washington, DC",Full Time,"<p>Performance Technologies
<a href=""http://www.advisory.com"">www.advisory.com</a></p>

<p><strong>Role in Brief</strong>
The Senior Software Engineer (Java/J2EE) will be a member of the Advisory Board&#39;s Performance Technologies Software Product Development team and will be deeply involved in the full product life cycle of multiple applications and the supporting data architecture. The Senior Software Engineer will be a part of a team working on developing the next generation of technology for the health care industry.</p>

<p>There are currently 3 openings; 2 based in Washington, D.C. and 1 in Vernon Hills, IL</p>

<p><strong>What You’ll Be Doing:</strong></p>

<ul>
<li>      Working with product managers and other stakeholders to get clarification on business requirements and then implementing solutions including code development and database design</li>
<li>      Ensuring high quality solutions by implementing unit tests and supporting the creation and design of integration, load and user acceptance tests</li>
<li>      Support operations by identifying, researching and resolving performance and production issues</li>
</ul>

<p><strong>Must Haves:</strong></p>

<ul>
<li>      Bachelor’s degree</li>
<li>      5+ years of experience with one or more of the following web frameworks: Java/J2EE, .NET, RoR, GoG or Django</li>
<li>      2+ years of experience working with relational or multi-dimensional databases.</li>
<li>      2+ years of experience working with data models for business intelligence and decision support systems</li>
<li>      Basic knowledge of SQL </li>
<li>Database application or ETL development</li>
<li>Development in a UNIX or Windows environment</li>
<li>Experience with OOD, UML modeling tools and the use of design patterns </li>
<li>Proficiency in object oriented analysis, design, and programming. Experience with design patterns and tiered architecture.</li>
<li>  Clear understanding of the MVC pattern and RESTful architectural style.</li>
<li>  Able to leverage proven and emerging frameworks (Spring, EJB, JSF, etc.), continuous integration, and other best of breed practices and technologies.</li>
<li>  Working knowledge of Persistence frameworks such as EclipseLink or Hibernate</li>
<li>  Strong experience with JDBC, SQL and RDBMS</li>
</ul>

<p><strong>Even Better:</strong></p>

<ul>
<li>      Experience working in an Agile environment</li>
<li>      Experience developing software in a commercial software product development environment</li>
<li>      Develop logical and physical data models that document source data from multiple sources (Client’s internal data systems, external source data systems, 3rd Party Data etc.).</li>
<li>      Ability to provide analysis and problem solving skills.</li>
<li>      Experience working with relational or multi-dimensional data in reporting or analytic infrastructures.</li>
<li>      Bachelor’s or Master’s degree in Computer Science or Computer Engineering</li>
<li>      Ability to communicate with business and technical teams both orally and written</li>
<li>      UNIX development using Solaris</li>
<li>      Experience with development of applications in Java/J2EE platform using core Java utilizing Hibernate and web frameworks like Spring-MVC</li>
<li>      Experience with one or more scripting languages (Shell, Perl, Python, PHP...Etc.)</li>
<li>      Experience with development of AJAX based rich client using Javascript and JQuery</li>
<li>      Experience with distributed Source Code Management tools (SCM), GIT preferred</li>
<li>      Must possess desire to learn new technologies. Ability to learn quickly.</li>
<li>      Must possess strong communications skills, both written and oral. Ability to articulate technical viewpoints to team members and clients.</li>
<li>      Must be a self-starter/self-reliant to define strategies and work collaboratively to harden/publish strategies. Able to work independently, take ownership of tasks and deliver high quality products and customer services</li>
</ul>

<p><strong>Perks (A Few Of Many):</strong></p>

<ul>
<li>  Medical, dental, and vision insurance, dependents eligible</li>
<li>  401(k) retirement plan with company match </li>
<li>  20+ days paid time off and 10+ paid company holidays</li>
<li>  Daytime leave policy for community service (up to 10 hours a month)</li>
<li>  Wellness programs including gym discounts and incentives to promote healthy living</li>
<li>  Dynamic growth opportunities with merit-based promotion philosophy </li>
<li>  Benefits kick in day one, see the full details here</li>
</ul>

<p><strong>About Us</strong>
The Advisory Board Company (NASDAQ: ABCO) is a global technology, research and consulting firm partnering with 150,000 leaders in 3,700+ organizations across health care and higher education.  We combine the expertise of our 2,200+ employees around the world to find solutions to the most pressing challenges in health care. Our performance technology products offer user-friendly, Web-enabled dashboard platforms with tremendous analytic capabilities that generate more than $500 million in realized value annually for our members. These solutions focus on strategically important areas, including physician alignment, revenue cycle, accountable care, and surgical profitability. We thrive on innovation and the knowledge that we are creating real change in an industry that matters to everyone. </p>

<p><strong>Connect with Us</strong>
Facebook
LinkedIn
Careers Twitter
Company Twitter
Community Impact Twitter</p>

<p><em>We are an Affirmative Action and Equal Opportunity Employer.</em></p>
",The Advisory Board Company,"<p>Submit your resume @ <a href=""https://corporate-advisory.icims.com/jobs/8283/senior-software-engineer/job"">https://corporate-advisory.icims.com/jobs/8283/senior-software-engineer/job</a></p>
"
Developer Advocate,"New York, NY, US",Full Time,"<p><a href='http://www.jobscore.com/jobs/orchestrate/list'><img src='https://jobscore-assets.s3.amazonaws.com/account_logos/logo_d9p-E-UUur45CdiGak6IKg.gif' /></a><br /><h2>Role Description</h2><p>The person in this role <em>must</em> be hyper critical of what it takes to make a good developer experience and then have the talent and ambition to make what&#39;s wrong, right. This role should be vocal and opinionated in (and about) the developer community. Responding to conference call for speakers is fun and exciting. Hopping on a plane for a conference to be a social butterfly (not a booth worker), should excite this person.  Writing blog and social posts should be like breathing. Creating content means writing code or benchmarks and getting it out in front of people to talk about it. The Developer Advocate will want to write API documentation, make it look good, and usable.</p><h2>Responsibilities</h2><ul><li>Propose speaking engagements to conferences and events</li>    <li>Maintain social presence - virtually and IRL</li>   <li>Write blog posts with technical content (code, benchmarks, programming or data-oriented details)</li>   <li>Writing and maintaining API documentation (and the tools to build it)</li> <li>Work cross functionally with the executives, marketing team, and engineering team</li></ul><h2>Requirements</h2><ul><li>Experience with public speaking</li>    <li>Fluent in numerous programming languages</li>   <li>Experience creating technical content such as blog posts with code samples and benchmarks</li>  <li>Passion for developer experience and the programming community</li></ul><h2>Preferred</h2><ul><li>Experience with various NoSQL databases</li>  <li>Active in the NYC Area developer communities</li></ul><h2>Location</h2><p>This role is for a remote employee based in NYC area. The company is headquartered in Portland, Oregon, but</p><h2>How to Apply</h2><p>Send us what you think will help us get to know you better (resume, github, etc) and note telling us what kind of projects you love to work on and why you would want to work at Orchestrate</p> <img src=""https://www.applytracking.com/track.aspx/5Ot7Z""/></p>
",Orchestrate,"<p><a href=""https://www.applytracking.com/track.aspx/5Ot7j"">https://www.applytracking.com/track.aspx/5Ot7j</a></p>
"
Developer Advocate,"San Francisco, CA, US",Full Time,"<p><a href='http://www.jobscore.com/jobs/orchestrate/list'><img src='https://jobscore-assets.s3.amazonaws.com/account_logos/logo_d9p-E-UUur45CdiGak6IKg.gif' /></a><br /><h2>Role Description</h2><p>The person in this role <em>must</em> be hyper critical of what it takes to make a good developer experience and then have the talent and ambition to make what&#39;s wrong, right. This role should be vocal and opinionated in (and about) the developer community. Responding to conference call for speakers is fun and exciting. Hopping on a plane for a conference to be a social butterfly (not a booth worker), should excite this person.  Writing blog and social posts should be like breathing. Creating content means writing code or benchmarks and getting it out in front of people to talk about it. The Developer Advocate will want to write API documentation, make it look good, and usable.</p><h2>Responsibilities</h2><ul><li>Propose speaking engagements to conferences and events</li>    <li>Maintain social presence - virtually and IRL</li>   <li><span style=""line-height: 1.2;"">Write blog posts with technical content (code, benchmarks, programming or data-oriented details)</span></li>    <li><span style=""line-height: 1.2;"">Writing and maintaining API documentation (and the tools to build it)</span></li>  <li>Work cross functionally with the executives, marketing team, and engineering team</li></ul><h2>Requirements</h2><ul><li>Experience with public speaking</li>    <li>Fluent in numerous programming languages</li>   <li><span style=""line-height: 1.2;"">Experience creating technical content such as blog posts with code samples and benchmarks</span></li>   <li><span style=""line-height: 1.2;"">Passion for developer experience and the programming community</span></li></ul><h2>Preferred</h2><ul><li>Experience with various NoSQL databases</li>   <li>Active in the Bay Area developer communities</li></ul><h2>Location</h2><p>This role is for a remote employee based in San Francisco. The company is headquartered in Portland, Oregon, but</p><h2>How to Apply</h2><p>Send us what you think will help us get to know you better (resume, github, etc) and note telling us what kind of projects you love to work on and why you would want to work at Orchestrate</p><p> </p> <img src=""https://www.applytracking.com/track.aspx/5OsuV""/></p>
",Orchestrate,"<p><a href=""https://www.applytracking.com/track.aspx/5Osuf"">https://www.applytracking.com/track.aspx/5Osuf</a></p>
"
iOS Software Developer,"Glendale, Ca",Full Time,"<p>mobileforming, LLC, a rapidly growing mobile app development startup based in Glendale, California, is looking for an iOS Software Developer to join our team. Our ideal candidate is innovative, resourceful and passionate about mobile products. He/she is meticulous, yet comfortable and productive working in a fast-paced Agile environment.</p>

<p>This candidate will be a key contributor to our iOS group, creating hospitality and experience-focused mobile applications for Fortune 500 clients. Engineering works closely with Product, QA, and UX, so candidates for this position should have strong people skills as they will be active participants in scoping projects, design sessions, and code reviews.</p>

<p>Experience:</p>

<ul>
<li><p>2+ Years experience of mobile app development</p></li>
<li><p>Success shipping at least one iOS app to the App Store</p></li>
<li><p>A degree in Computer Science or related field is preferred</p></li>
</ul>

<p>Technology Competencies:</p>

<ul>
<li><p>Basic Data Structures &amp; Algorithm knowledge and understanding</p></li>
<li><p>C &amp; Objective C</p></li>
<li><p>Xcode (Interface Builder, Instruments)</p></li>
<li><p>Test Driven Development</p></li>
<li><p>UIKit / Core Animation</p></li>
<li><p>Understanding of KVO concepts</p></li>
<li><p>Understanding of Web Service concepts</p></li>
</ul>

<p>Strong Candidates will have:</p>

<ul>
<li><p>Knowledge of iOS7</p></li>
<li><p>Strong Core Data knowledge</p></li>
<li><p>Fluent in Design Patterns</p></li>
<li><p>Strong Core Animation knowledge</p></li>
<li><p>Strong knowledge of the URL Loading System provided by iOS</p></li>
</ul>

<p>Why work for mobileforming? </p>

<ul>
<li>Competitive salary (commensurate with experience), great bonus potential and benefits (health insurance, paid holidays, sick days &amp; PTO) </li>
<li>Exceptional career growth opportunities </li>
<li>Work with a smart, diverse and driven team that&#39;s been developing mobile software since 2003. </li>
<li>Casual office atmosphere, in-house yoga 2x/week &amp; frequent company outings (K1 Go Kart Racing and Medieval Times trips are planned for Summer 2014) </li>
</ul>

<p><strong>This is an on-site position. Please no telecommuting.</strong></p>
",mobileforming LLC,"<p>Please email your resume and cover letter (if desired) to <a href=""mailto:recruiter@mobileforming.com"">recruiter@mobileforming.com</a></p>

<p><strong>Principals only, no recruiters please.</strong>
<strong>No phone calls please. All submissions will be reviewed.</strong></p>
"
Senior/Lead iOS Engineer (Relocation available),"Santa Monica, CA ",Full Time,"<p>** Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=o87cZfwa&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=o87cZfwa&amp;s=GitHub_Jobs</a></p>

<p>Are you the engineer your peers go to with their hardest problems when they’re stumped? Then you’re the only kind we hire. That’s one of the secrets to LIVESTRONG.COM’s rapid growth to become the largest food and fitness site on the web, with tens of millions of monthly visitors. Come see what it’s like to take on high-impact projects every day on popular apps, in an environment buzzing with smart people who understand and respect what you do. We combine the stability and resources of a successful company with the relaxed atmosphere of a startup and the mindset to stay agile as we grow.</p>

<p>Mobile apps and gadgets/wearables are exploding in the health and fitness space, as confirmed by the recent announcement of HealthKit. LIVESTRONG.COM has a big head start: a huge base of committed users to give great apps the right exposure to take off. We’re looking for a mobile app developer to lead the development and maintenance of our mobile apps. The developer will work closely with the business owners, product management and the LIVESTRONG.COM engineering team during the entire product lifecycle, from concept to delivery and post launch support. </p>

<p>Responsibilities:</p>

<ul>
<li>Work with the Livestrong.com engineering team and product management team to conceptualize, build, test and release apps</li>
<li>Work alongside the web developers to create and maintain a robust framework to support the apps</li>
<li>Work directly with developers and product managers throughout the entire app life cycle from concept, design, development, testing and release</li>
<li>Build prototypes at tech scoping stage of projects</li>
<li>Keep up to date on the latest industry trends in the mobile technologies</li>
</ul>

<p>Requirements: </p>

<ul>
<li>4+ years of iOS application development experience</li>
<li>Experience with mobile APIs and frameworks</li>
<li>Expert in Objective C</li>
<li>Experience with JSON and XML</li>
<li>Experience building complex apps that have been successfully released to the marketplace</li>
<li>Fundamentals in object-oriented design, data structures, algorithm design, problem solving and complexity analysis</li>
<li>Self-starter; oriented towards over-delivering to expectations instead of delivering / meeting expectations</li>
<li>Must be a committed team player and able to work independently with minimal guidance</li>
<li>Ability to work and thrive in a fast pace environment where business priorities can change quickly</li>
<li>Exceptional analytical aptitude and attention to deal</li>
<li>Good organizational and problem solving skills</li>
<li>Strong verbal and written communication skills</li>
<li>Strong passion for learning and creating new products and features</li>
<li>Experience with Git or version control systems</li>
</ul>
",Demand Media,"<p>** Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=o87cZfwa&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=o87cZfwa&amp;s=GitHub_Jobs</a></p>
"
Senior/Lead Android Engineer (relocation available),"Santa Monica, CA",Full Time,"<p>**Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=oLYBYfw2&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=oLYBYfw2&amp;s=GitHub_Jobs</a></p>

<p>Are you the engineer your peers go to with their hardest problems when they’re stumped? Then you’re the only kind we hire. That’s one of the secrets to LIVESTRONG.COM’s rapid growth to become the largest food and fitness site on the web, with tens of millions of monthly visitors. Come see what it’s like to take on high-impact projects every day on popular apps, in an environment buzzing with smart people who understand and respect what you do. We combine the stability and resources of a successful company with the relaxed atmosphere of a startup and the mindset to stay agile as we grow.</p>

<p>Mobile apps and gadgets/wearables are exploding in the health and fitness space, as confirmed by the recent announcement of Google Fit. LIVESTRONG.COM has a big head start: a huge base of committed users to give great apps the right exposure to take off. We’re looking for a mobile app developer to lead the development and maintenance of our mobile apps. The developer will work closely with the business owners, product management and the LIVESTRONG.COM engineering team during the entire product lifecycle, from concept to delivery and post launch support. </p>

<p>Responsibilities:</p>

<p>Work with the Livestrong.com engineering team and product management team to conceptualize, build, test and release apps
Work alongside the web developers to create and maintain a robust framework to support the apps
Work directly with developers and product managers throughout the entire app life cycle from concept, design, development, testing and release
Build prototypes at tech scoping stage of projects
Keep up to date on the latest industry trends in the mobile technologies</p>

<p>Requirements:</p>

<p>4+ years of Android mobile application development experience
Experience with mobile APIs and frameworks
Expert in Java programming and architecture
Experience with JSON and XML
Experience building complex apps that have been successfully released to the marketplace
Fundamentals in object-oriented design, data structures, algorithm design, problem solving and complexity analysis
Self-starter; oriented towards over-delivering to expectations instead of delivering / meeting expectations
Must be a committed team player and able to work independently with minimal guidance
Ability to work and thrive in a fast pace environment where business priorities can change quickly
Exceptional analytical aptitude and attention to deal
Good organizational and problem solving skills
Strong verbal and written communication skills
Strong passion for learning and creating new products and features
Experience with Git or version control systems</p>
",Demand Media,"<p>**Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=oLYBYfw2&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=oLYBYfw2&amp;s=GitHub_Jobs</a></p>
"
Sr Software Engineer (Fullstack)- Society6.com,"Santa Monica, CA",Full Time,"<p>** Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=oIKcZfwn&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=oIKcZfwn&amp;s=GitHub_Jobs</a></p>

<p>Society6.com is an e-Commerce site and platform whose goal is to empower its huge community of digital artists to create and sell art online thru various product offerings.  The Society6 stack is built using PHP, MySQL, MongoDB and the latest HTML/CSS technologies.  It is hosted on Amazon Web Services leveraging EC2, S3, RDS, and CloudFront.  Society6.com serves over a million of page views per day and our servers process thousands of requests per second. Our team of developers ship code when ready and utilize agile development methodologies.  Code is always changing and while we rely heavily on engineers to test their own code we utilize a combination of black box testing and heavy automation to minimize negative impact to the business.</p>

<p>If you&#39;re a talented full stack engineer, love the front end as well as the back, we want you to join our engineering team!</p>

<p>Responsibilities:</p>

<ul>
<li>Work with a team of high level dedicated developers in the creation of our next generation platform and tools for artists, mobile optimized sites, and enhancing the e-Commerce platform.</li>
<li>Maintain responsibility to develop our high-profile web 2.0 social networking, content management and distribution systems using PHP in a LAMP stack.</li>
<li>Design and code new application features and functionality, writing API’s, scalability, and maintainability improvements.</li>
<li>Utilize knowledge about design patterns—MVC, ORM, and Factories, as well as understanding of front-end web technology including Javascript, HTML, CSS and AJAX to create social media platform.</li>
</ul>

<p>Requirements:</p>

<ul>
<li>Bachelor&#39;s degree in CS or equivalent experience</li>
<li>5+ years experience in designing, developing and delivering engaging user experiences on customer web sites and portals</li>
<li>Strong experience and advanced knowledge of PHP, mySQL, CSS3, HTML5, Javascript.  Other technologies such as NodeJS, AngularJS, Python, MongoDB, and Redis are a plus.</li>
<li>Must be able to gather requirements, design, code and test independently as well as work jointly with the team</li>
<li>Ability to develop, maintain and optimize secure and scalable multi-tier web applications in an agile environment.</li>
</ul>
",Demand Media,"<p>** Please use the following link to apply: <a href=""http://hire.jobvite.com/j/?cj=oIKcZfwn&amp;s=GitHub_Jobs"">http://hire.jobvite.com/j/?cj=oIKcZfwn&amp;s=GitHub_Jobs</a></p>
"
JavaScript Developer (Web Apps),"Toronto, ON, CA",Full Time,"<p><h3>About Us:</h3><p>ZenBanx, Inc. is a financial services technology firm poised to change the world of international money transfers, and we’re looking for a talented and self-motivated JavaScript Developer (Web Apps). Our candidate will be responsible for developing, testing, implementing, and maintaining JavaScript-based applications, such as WebCSR, and others as necessary. This role interacts closely with Security and Product to define, capture and deliver an excellent customer experience via the web. </p><p>We seek an individual who thrives in a dynamic, technically challenging and innovative environment, seeking to be at the forefront of a turning point in the way money moves across borders. ZenBanx, Inc. has assembled a team with an undeniably impressive pedigree in the online banking industry, on a mission to put the power to move funds around the world back in the hands of customers, and we’re seeking someone to help bring our vision to life, possibly you!</p><h3>Responsibilities:</h3><ul><li>Designs, develops and delivers new capabilities to our web-based call-center application platform using JavaScript and Java-related applications.</li>  <li>​Facilitates testable designs and quality software internally for our Customer Care, Operations and Fraud teams.</li> <li>Innovates in alignment with our business vision and customer requirements.</li> <li>Provides user support and training when required.</li>  <li>Collaborates with client support, call center employees, and produce management to design web applications for payments and banking functions.</li> <li>Works alongside the Product Development Team to present new ideas, manage existing sites, and provide technical solutions whenever a problem occurs.</li>   <li>Resolves technical issues through debugging, research, and investigation.</li>  <li>Troubleshoots system problems and issues and looks for ways to improve our applications.</li>   <li>Addresses web service issues and ensure service levels meet ZenBanx standards.</li> <li>Follows approved life cycle methodologies, creates design documents, and performs program coding and testing.</li>  <li>Prepares reports by collecting, analyzing information and giving presentations when needed.</li>    <li>Some travel nationally may be required.</li>    <li>Fosters a culture of creativity, collaboration, speed, innovation, excellence and a fun work environment.</li>  <li>Works effectively across the organization to maximize company resources.</li>   <li>Creates a productive and healthy work/life balance. Effectively manages stress, fosters a flexible work environment, and keeps the team focused, engaged, productive, and fulfilled.</li></ul><h3>Requirements:</h3><ul><li>Bachelor’s Degree in Computer Science or related field required.</li> <li>​3-5 years of commercial software development experience with JavaScript, preferably for banking or financial services. Experience supporting and integrating 3rd party applications is ideal.</li>   <li>Strong understanding and experience with SQL and various web page development a must.</li>  <li>Experience in enterprise system integration using JavaScript for both internal and external systems.</li>   <li>Experienced with Struts, Spring, and other page development framework.</li> <li>Good time and project management skills, and the ability to work with all levels within the organization in a collaborative manner.</li>   <li>Good communication and presentation skills are required.  Must be able to establish peer relationships and communicate effectively with multiple company disciplines, cross-functional, and external teams.</li> <li>Proven track record of effectively working with team members both locally and remotely.</li>    <li>Excellent interpersonal, organizational and negotiation skills are required.</li></ul><h3>Bonus Points:</h3><ul><li>Excellent critical thinking and problem solving skills.</li>    <li>Detail-oriented and process-oriented approach.</li> <li>Accepts responsibility, ownership, and accountability for work results.</li>    <li>Finds a high-volume, dynamic, and team work environment engaging.</li>  <li>Ability to organize and prioritize workload.</li></ul><h3>Perks:</h3><ul><li>There is limitless growth potential within our organization, and the experience – whether you have a long career with us or elsewhere – will add eye-popping bullet points to your resume.</li></ul> <img src=""https://www.applytracking.com/track.aspx/5Oom3""/></p>
",ZenBanx,"<p><a href=""https://www.applytracking.com/track.aspx/5OomD"">https://www.applytracking.com/track.aspx/5OomD</a></p>
"
Java Services Developer,"Toronto, ON, CA",Full Time,"<p><h3>About Us:</h3><p>ZenBanx, Inc. is a financial services technology firm poised to change the world of international money transfers, and we’re looking for a talented and self-motivated Java Services Developer. Our candidate will be responsible for developing, testing, implementing, and maintaining Java-based application systems.  This role interacts closely with Security and Product Development to define, capture and deliver an excellent customer experience via the web.</p><p>We seek an individual who thrives in a dynamic, technically challenging and innovative environment, seeking to be at the forefront of a turning point in the way money moves across borders. ZenBanx, Inc. has assembled a team with an undeniably impressive pedigree in the online banking industry, on a mission to put the power to move funds around the world back in the hands of customers, and we’re seeking someone to help bring our vision to life, possibly you!</p><h3>Responsibilities:</h3><ul><li>Designs, develops and delivers new capabilities to our platform using Java and Java-related applications.</li>  <li>​Facilitates testable designs and quality software.</li>  <li>Innovates in alignment with our business vision and customer requirements.</li> <li>Provides user support and training when required.</li>  <li>Works closely with all teams to design web applications for payments.</li>  <li>Collaborates with the Product Development Team to present new ideas, manage existing sites, and provide technical solutions whenever a problem occurs.</li> <li>Resolves technical issues through debugging, research, and investigation.</li>  <li>Troubleshoots system problems and issues and looks for ways to improve our applications.</li>   <li>Addresses web service issues and ensure service levels meet ZenBanx standards.</li> <li>Follows approved life cycle methodologies, creates design documents, and performs program coding and testing.</li>  <li>Prepares reports by collecting and analyzing information, and giving presentations when needed.</li>    <li>Some travel nationally may be required.</li>    <li>Fosters a culture of creativity, collaboration, speed, innovation, excellence and a fun work environment.</li>  <li>Works effectively across the organization to maximize company resources.</li>   <li>Creates a productive and healthy work/life balance. Effectively manages stress, fosters a flexible work environment, and keeps the team focused, engaged, productive, and fulfilled.</li></ul><h3>Requirements:</h3><ul><li>Bachelor’s Degree in Computer Science or related field required.</li> <li>​3-5 years of commercial software development experience with Java (J2EE) and Java server side development using Eclipse, preferably for banking or financial services. Experience supporting and integrating 3rd party applications is ideal.</li>   <li>Strong understanding of the Spring framework and Restful web services concepts and development.</li>    <li>In-depth knowledge of relational database and database programming interfaces in general.</li>  <li>Experience in enterprise system integration using Java for both internal and external systems.</li> <li>Time and project management skills, and the ability to work with all levels within the organization in a collaborative manner.</li>    <li>Good communication and presentation skills are required.  Must be able to establish peer relationships and communicate effectively with multiple company disciplines, cross-functional, and external teams.</li> <li>Proven track record of effectively working with team members both locally and remotely.</li>    <li>Excellent interpersonal, organizational and negotiation skills are required.</li></ul><h3>Bonus Points:</h3><ul><li>Excellent critical thinking and problem solving skills.</li>    <li>Detail-oriented and process-oriented approach.</li> <li>Accepts responsibility, ownership, and accountability for work results.</li>    <li>Finds a high-volume, dynamic, and team work environment engaging.</li>  <li>Ability to organize and prioritize workload.</li></ul><h3>Perks:</h3><ul><li>There is limitless growth potential within our organization, and the experience – whether you have a long career with us or elsewhere – will add eye-popping bullet points to your resume.</li></ul> <img src=""https://www.applytracking.com/track.aspx/5OohX""/></p>
",ZenBanx,"<p><a href=""https://www.applytracking.com/track.aspx/5Oohh"">https://www.applytracking.com/track.aspx/5Oohh</a></p>
"
