salary,about,description,title,skills,company,responsibilities,contact,location,education
,,,"<title>
    Junior/Intermediate Data Analyst Job in Burnaby V5C6C6, British Columbia Canada
  </title>",,,,,,
,We are looking for a Data Analyst to perform the following responsibilities:,,,,,,,,
,Responsibilities:,,,,,,,,
,Requirements:,,,,,,,,
,We are looking for a Data Analyst to perform the following responsibilities:,,,,,,,,
,Responsibilities:,,,,,,,,
,Requirements:,,,,,,,,
,,,,Evaluate incoming Change      Requests to ensure that they contain the needed information to be      completed successfully. ,,,,,
,,,,Works with Change Request      submitters to clarify and define CRs. Updates CRs with development      estimates and completion dates,,,,,
,,,,Work with a variety of      stakeholders to support the delivery of services ,,,,,
,,,,Documents and maintains process/procedures,,,,,
,,,"<title>
    REVENUE ANALYST Job in Victoria V8W3B3, British Columbia Canada
  </title>",,,,,,
,"With 47 ports of call, 35 vessels, and more than 500 sailings every day, BC Ferries is the largest independently-owned ferry company in the world.  Dedicated to safety, excellence, innovation, and people, we are committed to continuously improving the west coast travel experience of our customers.",,,,,,,,
,REVENUE ANALYST (10 Month Term Certain),,,,,,,,
,,,,Develops customers focused      solutions that fulfills the objective of the Change Request ,,,,,
,,,,Provides technical guidance and      support to teams and external customers.,,,,,
,,,,"2+ years’ experience with      content modelling, content mapping, and developing single-sourced reusable      structured documents (XML/SGML)",,,,,
,,,,1+ years SQL/PLSQL experience,,,,,
,,,,1+ years Java experience,,,,,
,,,,Shell scripting and Linux      experience ,,,,,
,,,,"Detailed oriented, analytical      and systematic individual who works well with others",,,,,
,,,,Ability to manage multiple      tasks effectively ,,,,,
,,,,"Experience in software      development life cycle, data exchange and data load knowledge, as well as      data migration analysis and data migration development",,,,,
,,,,Experience with developing test      cases,,,,,
,,,,Works with minimal supervision      with a good track record of meeting tight schedule commitments ,,,,,
,,,,Experience with at least one      version control system,,,,,
,,,,Exceptional communication      skills both verbal and written,,,,,
,Victoria,,,,,,,,
,"As a Revenue Analyst you perform operational revenue audits, determine efficiency of internal controls and processes, and ensure that audits are performed to standard.",,,,,,,,
, ,,,,,,,,
,Your key responsibilities include ensuring compliance with internal control procedures; data analysis and loss prevention; interpretation of key financial data; account reconciliation; and assisting with investigating and reporting procedures.  ,,,,,,,,
, ,,,,,,,,
,You have a degree or diploma in business with an accounting or finance major. Along with a minimum of 2 years’ accounting or auditing experience. Enrolment in a professional accounting designation program at a minimum 3,,,,,,,,
,rd,,,,,,,,
, level and audit experience would be an asset.,,,,,,,,
, ,,,,,,,,
,"You bring experience as a financial professional with strong analytical and problem-solving skills.  You are an excellent communicator and multi-tasker with an ability to work effectively within diverse teams.  You are a flexible, self-starter with a strong focus on working relationships and customer service.",,,,,,,,
, ,,,,,,,,
,"Email your resume, quoting position title, by ",,,,,,,,
,1:00 pm,,,,,,,,
,", ",,,,,,,,
,"July 11, 2014 ",,,,,,,,
,to ,,,,,,,,
,hr@bcferries.com,,,,,,,,
, or fax to ,,,,,,,,
,(250) 978-1225,,,,,,,,
,.,,,,,,,,
,,,"<title>
    Data Analyst Job in Burnaby v3joa4, British Columbia Canada
  </title>",,,,,,
,,,"<title>
    Treasury Financial Analyst Job in Vancouver V6E2K3, British Columbia Canada
  </title>",,,,,,
,,,,Bachelor’s degree in ,,,,,
,,,"<title>
    Treasury Financial Analyst Job in Vancouver V6E2K3, British Columbia Canada
  </title>",,,,,,
,,,,Bachelor’s degree in ,,,,,
,,,"<title>
    GIS Programmer Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,On behalf of our client located in ,,,,,,,,
,,,"<title>
    QA Analyst Job in Burnaby V5J 4V5, British Columbia Canada
  </title>",,,,,,
,,,,"A minimum of a BS in Computer Science, Electrical Engineering, Computer Engineering or Engineering Sciences or equivalent.",,,,,
, ,,,,,,,,
,"We appreciate the interest of all applicants, however, only those selected for an interview will be contacted.",,,,,,,,
,"With 47 ports of call, 35 vessels, and more than 500 sailings every day, BC Ferries is the largest independently-owned ferry company in the world.  Dedicated to safety, excellence, innovation, and people, we are committed to continuously improving the west coast travel experience of our customers.",,,,,,,,
,REVENUE ANALYST (10 Month Term Certain),,,,,,,,
,Victoria,,,,,,,,
,"As a Revenue Analyst you perform operational revenue audits, determine efficiency of internal controls and processes, and ensure that audits are performed to standard.",,,,,,,,
, ,,,,,,,,
,Your key responsibilities include ensuring compliance with internal control procedures; data analysis and loss prevention; interpretation of key financial data; account reconciliation; and assisting with investigating and reporting procedures.  ,,,,,,,,
, ,,,,,,,,
,You have a degree or diploma in business with an accounting or finance major. Along with a minimum of 2 years’ accounting or auditing experience. Enrolment in a professional accounting designation program at a minimum 3,,,,,,,,
,rd,,,,,,,,
,,,,finance or accounting ,,,,,
,,,,and designation ,,,,,
,,,,required(,,,,,
,,,,"CA, CGA, CPA, CFA, etc.)",,,,,
,,,,4 to 7 years’ experi,,,,,
,,,,ence ,,,,,
,,,,in cash management and finance,,,,,
,,,,Candidate must be highly organized and possess ,,,,,
,,,,e,,,,,
,,,,xcellent verbal and written communication skills,,,,,
,,,,S,,,,,
,,,,trong analytical and interpersonal skills together with a high degree of self-motivation a must,,,,,
,,,,Experience with general accounting ,,,,,
,,,,a plus,,,,,
,,,,Experience with implementation of internal controls a plus,,,,,
,,,,Experience with hedging interest rates or foreign exchange a plus,,,,,
,,,,Manufacturing and cost accounting experience ,,,,,
,,,,finance or accounting ,,,,,
,,,,and designation ,,,,,
,,,,required(,,,,,
,,,,"CA, CGA, CPA, CFA, etc.)",,,,,
,,,,4 to 7 years’ experi,,,,,
,,,,ence ,,,,,
,,,,in cash management and finance,,,,,
,,,,Candidate must be highly organized and possess ,,,,,
,,,,e,,,,,
,,,,xcellent verbal and written communication skills,,,,,
,,,,S,,,,,
,,,,trong analytical and interpersonal skills together with a high degree of self-motivation a must,,,,,
,"Vancouver, Ignite Technical Resources",,,,,,,,
, is looking for a ,,,,,,,,
,GIS Programmer Analyst,,,,,,,,
, to join our client’s team on a ,,,,,,,,
,9 month term employment,,,,,,,,
, opportunity. ,,,,,,,,
, ,,,,,,,,
,The Role:,,,,,,,,
," The successful candidate will support the client’s existing web applications,  Google based single purpose maps, and FME server publishing process for Open Data.  System administration and sustainment duties also include application performance monitoring, testing and trouble shooting.   ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst will also be responsible for delivering on demand service requests to improve the existing GIS applications. Duties include: gathering and analysis of user/business requirements, proposing solutions to meet identified requirements, and developing and testing complex systems and system integrations.  ",,,,,,,,
, ,,,,,,,,
,,,,A minimum of 3-4 years’ experience in a QA role.,,,,,
, level and audit experience would be an asset.,,,,,,,,
, ,,,,,,,,
,"You bring experience as a financial professional with strong analytical and problem-solving skills.  You are an excellent communicator and multi-tasker with an ability to work effectively within diverse teams.  You are a flexible, self-starter with a strong focus on working relationships and customer service.",,,,,,,,
,,,,a plus,,,,,
